ru_term	target_term
хвостатая мразь	räudige Schwanzratte
лисий ублюдок	Fuchs-Bastard
дзинково отродье	Jinko-Brut
нелюдь вшивый	verlauster Nichtmensch
мразь	Abschaum
урод	Freak
поехавший	verrückt
Паук	Spinne
Имперская шавка	Kaiserlicher Köter
недобиток	Überlebender
Хозяин	Meister
Господин	Herr
братишка	Bruder
дитя	Kind
мелочь	Kleiner
пес	HUND
зверь	Bestie
червяк	Wurm
Акито	Akito
Асуна	Asuna
Ичиро	Ichiro
мон	Mon
Трущобы	Elendsviertel
