id,Character,ru,en
tengufight_1_3,Demon,...но мертвые заговорили со мной.,...but the dead spoke to me.
tengufight_1_4,Demon,И я пришел к вам.,And so I came to you.
tengufight_1_5,Demon,Чтобы спасти их мертвые души.,To save their dead souls.
tengufight_1_6,Demon,Чтобы спасти ваши живые души.,To save your living souls.
tengufight_1_7,Demon,Чтобы вы стали не живыми и мертвыми...,So that you may become neither living nor dead...
tengufight_1_8,Demon,...а ВОСКРЕСШИМИ.,...but the RISEN ONES.
tengufight_1_9,Demon,"Только те, кто веруют в меня - спасутся.",Only those who believe in me will be saved.
tengufight_1_10,Demon,Кто следуют за мной услышат мертвых.,Those who follow me will hear the dead.
tengufight_1_11,Leon,Нихуя себе он заливает.,Holy shit he's pouring it on.
tengufight_1_12,Demon,"Души мертвых, что говорят со мной...",The souls of the dead who speak to me...
tengufight_1_13,Demon,"Ценнее тех, кто за стенами нашего дома.",More precious than those outside our home.
tengufight_1_14,Demon,Увидимся на той стороне…,See you on the other side…
tengufight_1_15,Demon,Среди нас чужак!,There's a stranger among us!
tengufight_1_16,Demon,Дальше ты не пройдешь!,You won't get any further!
tengufight_1_17,Leon,Блять!,Damn it!
tengufight_2_1,,Воскреси моего сына,Bring my son back to life
tengufight_2_2,,Хочу слышать мертвых!,I want to hear the dead!
tengufight_2_3,,Я подожгу себя!,I'm going to set myself on fire!
tengufight_2_4,,Светочь!,Saint!
tengufight_2_5,,Мы любим тебя!,We love you!
tengufight_2_6,,Бог Смерти!,God of Death!
tengufight_2_7,,[shake]Светочь!,Saint!
tengufight_3_1,,Неофит...,Neophyte...
tengufight_3_2,,Месса скоро начнется.,Mass is about to begin.
doubledoor_1_1,Monk,Убийца!,Murderer!
doubledoor_1_2,Leon,Что?,What?
doubledoor_1_3,Monk,Вы не доберетесь до Светочи.,You won't get to the Saint.
doubledoor_1_4,Monk,Ты и твои мясники.,You and your butchers.
doubledoor_1_5,Leon,"Стой, ты думаешь, что я с ними?","Wait, do you think I'm with them?"
doubledoor_1_6,Monk,"Ты хочешь убить того, кто вернул мне мою дочь.",You want to kill the person who brought my daughter back to me.
doubledoor_1_7,Leon,Мне так похуй.,I really don't give a shit.
doubledoor_1_8,Monk,Я знаю что ты идешь за ним!,I know you're following him!
doubledoor_1_9,Monk,"Моя дочка утонула, когда ей было 2 года.",My daughter drowned when she was 2 years old.
doubledoor_1_10,Monk,И Светоч ее вернул мне! Она живая!,And the Saint brought her back to me! She's alive!
doubledoor_1_11,Leon,Че тебе от меня надо?,What do you want from me?
doubledoor_1_12,Monk,Оставь его!,Leave him alone!
doubledoor_1_13,Monk,Он делает для нас доброе дело!,He's doing us a favor!
doubledoor_1_14,Monk,Возвращает тех кого мы потеряли.,It brings back those we've lost.
doubledoor_1_15,Monk,Ты ведь тоже кого то потерял?,"You’ve lost someone too, haven’t you?"
doubledoor_1_16,Leon,...,...
sacrifice_1_1,Demon,С этим закончили.,We're done with that.
sacrifice_1_2,Demon,Теперь пришла твоя очередь!,Now it's your turn!
sacrifice_1_3,Demon,Пора тебе воссоединиться с мужем.,It's time for you to get back together with your husband.
sacrifice_1_4,Wife,Я молилась тебе каждый день.,I prayed to you every day.
sacrifice_1_5,Demon,Сегодня я услышал его голос.,Today I heard his voice.
sacrifice_1_6,Brother,"[shake]Извините, а я вам не мешаю?!!","[shake]Excuse me, am I bothering you?!!"
sacrifice_1_7,Demon,И я вижу ты привела - жертву.,And I see you've brought a sacrifice.
sacrifice_1_8,Brother,Тело не слушается.....,My body won't listen to me.....
sacrifice_1_9,Brother,[shake][wave][color=red]ПОМОГИТЕ!!!!!,[shake][wave][color=red]HELP!!!!!
sacrifice_1_10,Wife,Мой брат мне все равно никогда не нравился.,I never liked my brother anyway.
sacrifice_1_11,Demon,Именем моим...да свершится смерть!,In my name... let death be done!
sacrifice_1_12,Demon,Да свершится перерождение!,Let the rebirth begin!
sacrifice_1_13,Leon,Вот это обмен.,Now that's an exchange.
sacrifice_1_14,Wife,Не могу поверить!,I can't believe it!
sacrifice_1_15,Wife,"Любимый, ты жив!","My love, you're alive!"
sacrifice_1_16,Tengu1,Кто это сказал?,Who said that?
sacrifice_1_17,Wife,Это я - твоя жена!,It's me—your wife!
sacrifice_1_18,Tengu1,"Точно, моя жена!","That's right, my wife!"
sacrifice_1_19,Tengu1,Я так рад вернуться!,I'm so happy to be back!
sacrifice_1_20,Monk,Тревога!,Alert!
sacrifice_1_21,Monk,Империя штурмует Храм.,The Empire is storming the Temple.
sacrifice_1_23,Demon,Мы найдем укрытие в верхней часовне.,We'll take cover in the upper chapel.
sacrifice_1_24,Demon,Все за мной!,"Everyone, follow me!"
sacrifice_3_1,Tengu2,С прибытием!,Welcome!
sacrifice_3_2,Tengu1,Забавно оказаться на этой стороне.,It's funny to find myself on this side.
sacrifice_3_3,Wife,Муж!,Husband!
sacrifice_3_4,Wife,"Я так счастлива, что ты снова живой.",I'm so happy you're alive again.
sacrifice_3_5,Tengu1,Грязный человечишка!,You filthy little man!
sacrifice_3_6,Tengu2,"Как жаль, что Империя закроет лавочку.",It's a shame that the Empire is going out of business.
sacrifice_3_7,Tengu2,Дурить этого лоха было несложно.,It wasn't hard to fool that sucker.
sacrifice_3_8,Tengu1,Но нас тут хоть много?,But are there at least a lot of us here?
sacrifice_3_9,Tengu2,"О, да!","Oh, yeah!"
sacrifice_3_10,Tengu2,"Достаточно, чтобы как следует повеселиться!",That's enough to have a really good time!
sacrifice_3_11,Leon,Я вам не мешаю?,Am I bothering you?
sacrifice_3_12,Tengu1,Дзинко!,Dzinko!
sacrifice_3_13,Tengu2,Я думал мы их всех перебили!,I thought we'd killed them all!
sacrifice_3_14,Tengu1,Кажется нет.,I don't think so.
sacrifice_3_15,Tengu2,Исправим это недоразумение.,Let's clear up this misunderstanding.
final_tengu_1_1,Demon,Рассказывай!,"Go on, tell me!"
final_tengu_1_2,Demon,Как далеко они продвинулись?,How far have they gotten?
final_tengu_1_3,Tengu1,Они уже везде.,They're already everywhere.
final_tengu_1_4,,Скоро они будут тут.,They'll be here soon.
final_tengu_1_5,Demon,"Не знаю, стоило ли это того.",I don't know if it was worth it.
final_tengu_1_6,Demon,Я подвел свою паству.,I have let my flock down.
final_tengu_1_7,Tengu1,Не время для сомнений.,This is no time for doubts.
final_tengu_1_8,Demon,Разве ты не слышишь мертвых?,Can't you hear the dead?
final_tengu_1_9,Tengu1,Прикажи пастве умереть.,Command the flock to die.
final_tengu_1_10,Tengu1,Верни всех обратно.,Bring everyone back.
final_tengu_1_11,Demon,Сейчас это уже не имеет значение.,It doesn't matter anymore.
final_tengu_1_12,Demon,"Все что я могу,",All I can do is spend these last few minutes with my flock.
final_tengu_1_13,,это провести последние минуты со своей паствой.,
final_tengu_1_14,Tengu1,Воскреси голоса мертвых!,Bring the voices of the dead back to life!
final_tengu_1_15,Demon,Я не могу пожертвовать людьми ради голосов.,I can't sacrifice people just to win votes.
final_tengu_1_16,Demon,И если головорезы Империи их тут же перебьют...,And if the Empire's thugs kill them right then and there...
final_tengu_1_17,,...зачем их воскрешать?,...why bring them back to life?
final_tengu_1_18,Tengu1,КАК ТЫ МЕНЯ ДОСТАЛ!!!,YOU REALLY PISSED ME OFF!!!
final_tengu_1_19,Demon,Что?,What?
final_tengu_1_20,Tengu1,"Как только люди пошли за тобой, слизняк?","So, did people start following you, you slug?"
final_tengu_1_21,Tengu1,Глупые людишки.,Silly little people.
final_tengu_1_22,Demon,...,...
final_tengu_1_23,Tengu1,Твоя работа не терзаться моральными вопросами!,It's not your job to agonize over moral issues!
final_tengu_1_24,Tengu1,А приводить нас сюда!,And to bring us here!
final_tengu_1_25,Tengu1,Так что давай поживее!,So let's get a move on!
final_tengu_1_26,Demon,Кого это нас?,Who are “us”?
final_tengu_1_27,Tengu1,Твоя наивность поражает.,Your naivety is astonishing.
final_tengu_1_28,Tengu1,"Ты не слышал в детстве, что твоя мама спуталась с йокаем?",Didn't you hear when you were a kid that your mom had a fling with a yokai?
final_tengu_1_29,Tengu1,"Сюрприз, сюрприз, это правда!","Surprise, surprise—it's true!"
final_tengu_1_30,Tengu1,Водить тебя за нос все это время было весьма утомительно.,It's been really exhausting stringing you along all this time.
final_tengu_1_31,Demon,...,...
final_tengu_1_32,Tengu1,"Наполовину человек, наполовину йокай.","Half human, half yokai."
final_tengu_1_33,Tengu1,Это объясняет...,This explains...
final_tengu_1_34,,Почему ты так легко соглашался...,Why did you agree so easily...
final_tengu_1_35,Tengu1,...убивать всех этих людей.,...to kill all those people.
final_tengu_1_36,Tengu1,А ты реально считал себя Богом смерти?....,Did you really think of yourself as the God of Death?....
final_tengu_1_37,Tengu1,Возьми себя в руки и заверши работу.,Pull yourself together and finish the job.
final_tengu_1_38,Demon,Я понял. Хорошо…,I see. Okay…
final_tengu_1_39,Tengu1,"Фу-ух, сразу полегчало.","Phew, I feel so much better already."
final_tengu_1_40,Tengu1,Давно надо было это сделать.,This should have been done a long time ago.
belltrail_1_1,Pawwaro,"Нет, нет, нет….","No, no, no…."
belltrail_1_2,Pawwaro,Только не это.,Anything but that.
belltrail_1_3,Pawwaro,Я не видел йокаев со времен Великой войны.,I haven't seen any yokai since the Great War.
belltrail_1_4,Pawwaro,Я надеялся что все только слухи.,I was hoping it was all just rumors.
belltrail_1_5,Pawwaro,"Они не только фанатики, еще и демонопоклонники.",They're not just fanatics—they're also devil worshippers.
belltrail_1_6,Pawwaro,Как у них получилось просочиться с той стороны?....,How did they manage to sneak in from that side?....
belltrail_1_7,Pawwaro,Этих двоих доставьте в Коджо-13.,Take these two to Kojo-13.
belltrail_1_8,Pawwaro,Пускай светлые умы ими займутся.,Let the brightest minds take care of that.
belltrail_1_9,Melee,Господин! Эти демоны неостановимы!,Sir! These demons are unstoppable!
belltrail_1_10,Pawwaro,Только попробуйте струсить.,Just try to back down.
belltrail_1_11,Pawwaro,И вы будете завидовать своим мертвым товарищам.,And you will envy your dead comrades.
belltrail_1_12,Melee,А что нам делать с оставшимися фанатиками?,So what should we do about the remaining fanatics?
belltrail_1_13,Pawwaro,Вырезать всех до одного.,Kill every last one of them.
final_tengu_2_1,Demon,Слушайте меня.,Listen to me. Listen to me.
final_tengu_2_2,Demon,Мне сложно это говорить.,It's hard for me to say this.
final_tengu_2_3,Demon,Меня обманули.,I was deceived.
final_tengu_2_4,Demon,А я обманул вас и ваше доверие.,But I betrayed you and your trust.
final_tengu_2_5,Demon,Я не вернул ваших близких.,I didn't bring your loved ones back.
final_tengu_2_6,Demon,Я открыл дорогу демонам.,I opened the way for the demons.
final_tengu_2_7,Demon,И я же ее и закрою.,And I'll be the one to close it.
final_tengu_2_8,Demon,Вы встретитесь с близкими когда наступит время.,You'll be reunited with your loved ones when the time comes.
final_tengu_2_9,Monk,Мы готовы войти в мир мертвых.,We are ready to enter the realm of the dead.
final_tengu_2_10,Monk,За тобой!,I'm coming for you!
final_tengu_2_11,Monk,Мы верим тебе!,We believe in you!
final_tengu_2_12,Demon,Это уже будет ваш выбор.,That will be up to you.
final_tengu_2_13,Demon,Мое тело станет печатью.,My body will become a seal.
final_tengu_3_1,Leon,"Че притих, паук?","What's up, spider?"
final_tengu_3_2,Leon,Впервые нечего сказать?,Is this the first time you have nothing to say?
final_tengu_3_3,Joe,Тут и произошел грандиозный финал..,That's where the grand finale took place...
final_tengu_3_4,Joe,Они перерезали друг другу глотки.,They slit each other's throats.
final_tengu_3_5,Joe,Наматывали на лезвия свои внутренности.,They wound their entrails around the blades.
final_tengu_3_6,Joe,Они душили друг друга пока глаза не вылезали….,They were choking each other until their eyes nearly popped out….
final_tengu_3_7,Leon,"Я понял, понял.","I get it, I get it."
final_tengu_3_8,Leon,Ты тащишься по этой херне.,You're really into this crap.
final_tengu_3_9,Leon,А это что такое?,What is this?
final_tengu_3_10,Joe,А это и есть сосуд Бога смерти.,And this is the vessel of the god of death.
final_tengu_3_11,Joe,Разрушь его.,Destroy it.
final_tengu_3_12,Joe,"И получишь силу, чтобы продолжить свой путь.",And you'll find the strength to continue on your journey.
final_tengu_3_13,Ray,"Извините, я может не имею права голоса...","Sorry, I might not have a say in this..."
final_tengu_3_14,Ray,"Но,возможно...","But, maybe..."
final_tengu_3_15,Ray,...мы не будем разрушать зловещую статую посреди могильника?,...aren't we going to tear down that sinister statue in the middle of the graveyard?
final_tengu_3_16,Joe,Ему нужно стать сильнее.,He needs to get stronger.
final_tengu_3_17,Joe,И для этого ему нужно много ци.,"And to do that, he needs a lot of qi."
final_tengu_3_18,Joe,Вот тут много ци.,There are a lot of quotes here.
final_tengu_3_19,Ray,"Это звучит логично, но…","That sounds logical, but…"
final_tengu_3_20,Leon,Хватит базара!,Stop blabbering!
final_tengu_3_21,Leon,Мне нужна сила!,I need strength!
final_tengu_4_1,Leon,Паук?!,Spider?!
final_tengu_4_2,Leon,А ты ничего не забыл уточнить?,Did you forget to clarify anything?
final_tengu_4_3,Joe,Покажи на что ты способен!,Show us what you can do!
final_tengu_5_1,Ray,Впереди очень много йокаев!,There are a lot of yokai ahead!
final_tengu_5_2,Ray,Но я могу тебе помочь.,But I can help you.
final_tengu_5_3,Ray,Тебе надо открыть мне проход.,You need to let me through.
final_tengu_5_4,Ray,Позади меня - подъем наверх.,Behind me is the climb up.
final_tengu_5_5,Ray,Там хороший вид на проход.,There's a good view of the passageway from there.
final_tengu_5_6,Leon,Посмотрим...,Let's see...
raven_4_1,Leon,Хм...[color=yellow]колокольчик[/color].,Hmm...[color=yellow]bell[/color].
raven_4_2,Leon,Это то что мне нужно.,That's exactly what I need.
raven_1_1,Raven,КАР! КАР! КАР!,Сaw-caw!
raven_1_2,Leon,Это гнидское карканье я узнаю из тысячи.,I'd recognize that nasty cackling anywhere.
raven_1_3,Raven,КАР! КАР! КАР!,Сaw-caw!
raven_1_4,Leon,А вот и ты...,And here you are...
raven_1_5,Leon,Мне нужен этот колокольчик.,I need that little bell.
raven_2_1,Raven,Кар!,Сaw-caw!
raven_2_2,Leon,"О, ты ""супер умная"" птица!","Oh, you “super smart” bird!"
raven_2_3,Leon,Ты же у нас дохера крутой!,You're so damn cool!
raven_2_4,Raven,Кар-кар!,Сaw-caw!
raven_2_5,Leon,Да слышу я!,"Yeah, I can hear you!"
raven_3_1,Raven,Кар-кар!,Сaw-caw!
