id,ru,en,fr,it,de,ja,ko,pt-PT,zh-CN,zh-TC,es,notes
char_kuma,Кума,Kuma,Kuma,Kuma,Kuma,Kuma,Kuma,Kuma,Kuma,Kuma,Kuma,"Имя собственное, мужской род. Чемпион арены, босс демоверсии, медведь-громила; говорит о еде, костях и берлоге - образность медведя важна для реплик. Транслитерировать (яп. «медведь»)."
char_hazuo,Хадзуо,Hazuo,,,,,,,,,,"Имя собственное, мужской род. Паук-барахольщик и хранитель знаний, собрат Джо; держит лавку «Тысяча мелочей», без конца рассказывает исторические байки - речь многословная, старомодная. Транслитерировать. Русские реплики этого персонажа пока не переведены ни на один язык."
char_motoki,Мотоки,Motoki,,,,,,,,,,"Имя собственное, мужской род. Старик-хозяин раменной в Рыбном тупике, сдаёт героям подсобку, подслушивает, кричит капсом. Транслитерировать. Реплики не переведены ни на один язык."
char_saki,Саки,Saki,,,,,,,,,,"Имя собственное, женский род. Работница раменной, одёргивает Мотоки, говорит капсом. Транслитерировать как Saki. НЕ ПУТАТЬ с напитком саке (sake) - в латинице формы почти совпадают."
char_yaeko,Яэко,Yaeko,,,,,,,,,,"Имя собственное, женский род. Госпожа чайного домика, даёт задание доставить послание в Нижний Город; речь учтивая, деловая. Обращается к Леону «молодой человек», «мальчик». Транслитерировать. Реплики не переведены."
char_tsuru,Цуру,Tsuru,,,,,,,,,,"Имя собственное, женский род. Девушка из чайного домика, поддразнивает Леона. Транслитерировать. Реплики не переведены."
char_momo,Момо,Momo,,,,,,,,,,"Имя собственное, женский род. Девушка из чайного домика. Транслитерировать. Реплики не переведены."
char_haru,Хару,Haru,,,,ハル,,,,,,Имя собственное. В исходнике так зовут двух разных персонажей: охранника поместья из записки Пролога и мальчика на пристани в Столице. Транслитерировать одинаково: Haru / ハル.
char_unagi,Унаги,Unagi,,,,,,,,,,"Имя собственное, мужской род. Рыбак, «дядя Унаги», вечно пьёт в банях. Транслитерировать. Имя означает по-японски «угорь» и перекликается с заданием про нефритового угря - каламбур сохранять, если позволяет язык. Реплики не переведены."
char_yusei,Юсэи,Yusei,,,,,,,,,,"Имя собственное, мужской род. Деревенский мальчик, которому монах предсказал, что он погубит тысячи; стал Богом Смерти и Светочем культа. Транслитерировать. РАЗНОЧТЕНИЕ: Yusei и Yusai; канон - Yusei."
char_kai,Кай,Kai,,,,,,,,,,"Имя собственное, мужской род. Дух предка Леона, в одиночку разрушивший имперскую заставу; учит точному удару. Говорит сухо, с сарказмом. Транслитерировать."
char_juro,Дзюро,Juro,,,,,,,,,,"Имя собственное, мужской род. Лучший воин Павваро, гибнет под обломками в храме. Транслитерировать."
char_toji,Тодзи,Toji,Toji,Toji,Toji,トージ,토지,Toji,东司,東司,Toji,"Имя собственное, мужской род. Убитый мертвяками стражник, упоминается один раз в панической реплике. Транслитерировать."
char_ken,Кэн,Ken,Ken,Ken,Ken,ケン,켄,Ken,肯,肯,Ken,"Имя собственное, мужской род. Стражник в доспехах, романтик, влюблён в гейшу Хину; над ним подшучивает напарник. Транслитерировать."
char_hina,Хина,Hina,Hina,Hina,Hina,ヒナ,히나,Hina,希娜,希娜,Hina,"Имя собственное, женский род. Гейша из чайного домика, о которой мечтает Кэн. Транслитерировать."
char_kato,Като,Kato,,,,加藤,,,,,,"Имя собственное, мужской род. Имя с бытового плаката в Столице: «Като! Твоя очередь выносить мусор!». Транслитерировать, японский вариант - 加藤."
char_ryu,Рю,Ryu,,,,,,,,,,"Имя собственное, мужской род. Имперский солдат при штурме храма, к нему обращается напарник. Транслитерировать."
char_akito,Акито,Akito,,,,,,,,,,"Имя собственное, мужской род. Третий император, при котором построили Рыбный тупик и бамбуковые мосты; фигурирует только в исторических байках Хадзуо. Употребляется как «император Акито». Транслитерировать. Реплики не переведены."
char_innara,Иннара,Innara,Innara,Innara,Innara,インナラ,,Innara,因纳拉,伊納拉,Innara,"Имя божества дзинко, которому посвящён их деревенский храм; к нему взывают («Слава Инаре»). Транслитерировать. РАЗНОЧТЕНИЕ: Иннара / Инара, Innara / Inara; канон - Иннара / Innara. В корейском переводе строки с этим именем имя потеряно - строку надо перевести заново."
title_emperor,Император,Emperor,,,,皇帝,,,,,,"Титул, мужской род. Правитель Человеческой Империи; его брат - Маста. Переводить титулом, не транслитерировать. В сочетании «третий император Акито» порядковое числительное согласовать по правилам языка."
title_demon_emperor,Император Демонов,Demon Emperor,,,,悪魔の皇帝,,,,,,"Титул. Правитель потустороннего измерения, где живут ёкаи. Переводить титулом. Не путать с Императором людей - это разные персонажи."
title_svetoch,Светочь,Saint,,,,,,,,,,"Титул главы культа Бога Смерти (он же Юсэи), так его зовут последователи - с придыханием, почти как молитву. Переводить как религиозный титул («светоч, святой»), не транслитерировать. РАЗНОЧТЕНИЕ в русском: Светочь и Светоч; выбрать одно."
title_false_prophet,Лжепророк,False Prophet,,,,,,,,,,"Титул, которым Империя называет Светоча. Переводить смыслом, одним словом или устойчивым сочетанием. РАЗНОЧТЕНИЕ регистра в английском: the false prophet и the False Prophet - привести к одному."
title_death_god,Бог Смерти,God of Death,,,,,,,,,,"Титул божества культа в горном храме; им стал Юсэи. Переводить смыслом. В исходнике регистр скачет: «Бог Смерти», «бог смерти», встречается и «Демон Смерти» - привести к одному написанию."
title_infinity_demon,Демон Бесконечности,demon of infinity,,,,,,,,,,"Второй титул Юсэи в устах Джо, звучит как зловещее пророчество. Переводить смыслом."
title_chief_warden,Главный Надзиратель,Chief Warden,chef des gardiens,capo sorvegliante,Hauptaufseher,看守長,수감소장,Chefe de Segurança,首席看守,總監,jefe de guardias,"Должность Курогане Ямито, начальника шахт. Переводить смыслом. Встречается и просто «Надзиратель». КРУПНОЕ РАЗНОЧТЕНИЕ: в каждой строке должность переведена по-разному (Chief Warden, chef des gardiens и Capo Guardiano, capo sorvegliante, Oberaufseher и Hauptaufseher, 看守長 и 主任看守, 수감소장 и 수석 교도관, Chefe de Segurança и diretor da prisão, 首席看守 и 首席监护人, supervisor jefe и jefe de guardias). Закрепить один вариант на язык."
title_arena_champion,Чемпион арены,Arena Champion,Champion de l’arène,Campione dell’Arena,Arena-Champion,アリーナチャンピオン,아레나 챔피언,Campeão da Arena,竞技场冠军,競技場冠軍,Campeón de la arena,"Титул Кумы, выводится как подпись к боссу. Переводить смыслом."
team_nagato,Команда Нагато,Nagato's Team,Équipe de Nagato,Squadra di Nagato,Nagatos Team,長門チーム,나가토 팀,Equipe do Nagato,长门组,長門組,Equipo de Nagato,"Рабочая смена шахт, сброс в Отстойник в 7:00. Из служебного расписания на стене. Нагато - имя собственное, транслитерировать; слово «команда» переводить."
team_kento,Команда Кэнто,Kento's Team,Équipe de Kento,Squadra di Kento,Kentos Team,健人チーム,켄토 팀,Equipe do Kento,健人组,健人組,Equipo de Kento,"Рабочая смена шахт, сброс в Отстойник в 15:00. Кэнто - имя собственное, транслитерировать."
team_ikari,Команда Икари,Ikari's Team,Équipe d'Ikari,Squadra di Ikari,Ikari-Team,イカリチーム,이카리 팀,Equipe do Ikari,伊卡里组,碇組,Equipo de Ikari,"Рабочая смена шахт, сброс в 18:00, три выговора за опоздания; о них же говорят стражники после прорыва мертвяков. Икари - имя собственное, транслитерировать. РАЗНОЧТЕНИЕ в китайском традиционном: 碇組 и 伊卡里 - выбрать одно."
team_third_patrol,Третий патруль,Third Patrol,Troisième Patrouille,Terza Pattuglia,dritte Patrouille,第3パトロール,제3순찰대,Terceira Patrulha,第三巡逻队,第三巡邏隊,Tercera Patrulla,"Патруль шахт, пропавший за неделю до событий - первый намёк на мертвяков. Переводить смыслом, порядковое числительное согласовать. Употребляется как «зона третьего патруля»."
race_jinko,Дзинко,Jinko,,,,忍狐,,,,,,"Название расы, мужской род, одушевлённое; в русском не склоняется по числам единообразно - встречается «дзинко» и в ед., и во мн. числе. Полу-люди полу-лисы, накапливают больше всего ци, поэтому Империя держит их как сырьё. Транслитерировать, не переводить как «лис». РАЗНОЧТЕНИЕ: Jinko, Jinco, Dzinko, Zinko и ошибочное «zinc-headed»; в китайском 金科 / 金子 / 金虎 / 人狐. Канон - Jinko / 忍狐. Досье из листа Terms: Полу-люди, полу-лисы. Нелюди. Дзинко - мужской эквивалент ""китцуне"". Среди магических существ они считаются чуть ли не легендарными т.к. они могут аккамулировать очень много ци, больше чем все остальные расы."
race_kitsune,китцуне,kitsune,,,,キツネ,,,,,,"Название расы, женский эквивалент дзинко; раса Аки. Транслитерировать по японской традиции. В исходнике встречается только внутри описаний, в кавычках."
race_naga,Наги,Nagas,,,,ナーガ,,,,,,"Название расы, мужской род. Полу-люди полу-змеи, мирные травники и лекари; раса Рея. Транслитерировать. РАЗНОЧТЕНИЕ: Nag, Naga, Nagas, the Nagi в одном тексте - выбрать одну форму единственного и одну множественного числа. Досье из листа Terms: Полу-люди, полу-змеи. Нелюди. Наги - живущие в гармонии с природой существа. От природы слабые и немощные, наги привыкли к мирной жизни. Они часто выбирают стезю врачей, травников, поварок и т.д. На юге Империи люди часто живут по соседству с нагами, однако во всех остальных регионах они находятся все так же в категории ""бесправные нелюди""."
race_nonhuman,Нелюди,Non-human,,,,非人,,,,,,"Собирательное уничижительное название всех магических рас в устах людей; сами нелюди тоже им пользуются, свободные расы - нет. Ключевой оскорбительный термин игры, переводить единообразно и сохранять пренебрежительный оттенок. РАЗНОЧТЕНИЕ: Non-human, non-humans, nonhumans, inhuman вперемешку, часто с ошибкой артикля («a inhuman»). Канон - non-human. Досье из листа Terms: Общий термин для всех магических рас, который используют люди. ""Нелюди"" это привычное название для магических существ, поэтому существа живущие на территории Империии часто так обращаются друг к другу. Но этот термин уничижителен по отношению к ""нелюдям"", поэтому по-настоящему свободные магические расы не будут его использовать."
race_yokai,Ёкаи,Yōkai,,,,妖怪,,,,,,"Демоны мира Холлспик из потустороннего измерения, жестокие и могущественные; к нелюдям отношения не имеют, хотя люди верят в обратное. Транслитерировать по японской традиции. РАЗНОЧТЕНИЕ: Yōkai с макроном и yokai без него, в русском «Ёкаи» и «йокай» - привести к одному. Досье из листа Terms: Ёкаи - это демоны мира Холлспик. По местному поверию, именно из-за смешения людской крови и крвои ёкаев появились нелюди. Но это неправда, ёкаи не имеет ничего общего с нелюдьми и людьми. Они живут в своем потустороннем измерении, управляемые Императором Демонов. Они жестоки, кровожадны и могущественны. Если бы они могли, то давно бы завоевали мир людей."
race_inugami,Инугами,Inugami,Inugami,Inugami,Inugami,イヌガミ,이누가미,Inugami,犬神,犬神,Inugami,"Название расы нелюдей, из которых на шахтах выжимают ци; в служебных записках о них пишут как о расходном материале («Отработано инугами: 648»). Транслитерировать; в китайском устоялось 犬神."
race_tanuki,тануки,tanuki,,,,タヌキ,,,,,,"Магическая раса, упомянута в отчёте о запасах ци наряду с иннуэ и каппами. Транслитерировать по японской традиции."
race_kappa,каппы,kappa,,,,河童,,,,,,"Магическая раса, упомянута в отчёте о запасах ци. Транслитерировать по японской традиции; в китайском 河童. В русском во множественном числе."
race_innue,Иннуэ,Inu-e,,,,犬江,,,,,,"Магическая раса, упомянута в отчёте о запасах ци. Транслитерировать. В английском записано через дефис - Inu-e, в японском 犬江."
race_arachnid,Арахнид,Arachnid,,,,,,,,,,"Как Рей называет Джо, увидев его впервые - удивлённо-испуганно. Переводить смыслом («паукообразный»), не транслитерировать вслепую."
race_tengu,Тэнгу,Tengu,,,,,,,,,,"Ёкаи, вселившиеся в тела воскрешённых людей и водившие Светоча за нос; говорят издевательски. Транслитерировать по японской традиции. В русском тексте реплик слово не звучит - оно есть только в служебной колонке персонажей."
mob_deadhead,Мертвяки,Deadheads,Deadheads,I Deadheads,Deadheads,デッドヘッズ,데드헤드,Deadheads,死头党,行屍,Los Deadheads,"Ожившие мертвецы на шахтах, результат экспериментов над нелюдями; главная угроза уровня. Разговорное слово, не нейтральное «мертвецы» - сохранять грубоватый оттенок. РАЗНОЧТЕНИЕ: в русском мертвяки / дохляки / мертвецы, в английском deadheads / the dead / undead / dead bodies / zombies. Свести к одному термину."
mob_dohlyak,дохляки,deadheads,zombies,zombi,Deadheads,死体,시체들,cadáveres,死人,死鬼,cadáveres,"Второе разговорное название мертвяков в речи Леона и стражи. То же существо, что «мертвяки» - переводить тем же словом. ОСТОРОЖНО: то же слово применяется и к живым как оскорбление («Ты на него посмотри — трупешник!», «смена с этими дохляками») - там это «доходяга», а не зомби."
mob_kamikaze,камикадзе,kamikaze,,,,カミカゼ,,,,,,"Тип противника - живая бомба; любой сильный удар или бросок оружия запускает его и подрывает. Термин из обучающих подсказок, должен совпадать во всех подсказках. Транслитерировать."
mob_spearman,копейщик,spearman,,,,槍兵,,,,,,Тип противника с копьём; копьё ломается сильным комбо. Термин из обучающих подсказок.
mob_ao_shin,Ао-шин,Ao-shin,,,,,,,,,,"Священные карпы «синяя чешуя», последние в деревне дзинко; их защищала Сэри-Молния от браконьеров. Транслитерировать, прозвище «синяя чешуя» переводить смыслом. РАЗНОЧТЕНИЕ: Ао-шин и ао-ши / ao-shin и ao-shi - выбрать одно."
mob_raven,ворон,raven,,,,,,,,,,"Птица, укравшая колокольчик Рея; отдельная погоня-мини-квест, Леон её люто ненавидит. ВАЖНО: в английских строках крика «Сaw-caw!» первая буква - кириллическая С вместо латинской C, ошибка кодировки во всех репликах этого персонажа. Крик передавать звукоподражанием целевого языка, а не транслитерацией русского «Кар!»."
loc_hallspeak,Холлспик,Hallspeak,,,,ホールスピーク,,,,,,"Название мира игры - волшебный аналог Японии XVIII века, где огнестрел и катаны соседствуют с духами и ёкаями. Транслитерировать, не переводить по частям («hall» + «speak» - ложное членение)."
org_empire,Империя,Empire,,,,帝国,,,,,,"Человеческая Империя, поработившая нелюдей; главный антагонист сеттинга. Переводить смыслом, с прописной буквы как название государства. Частые связки: Империя Людей, воин Империи, инженеры Империи, головорезы Империи, флаг Империи."
loc_capital,Столица,capital,,,,,,,,,,"Главный город Империи, цель героев после храма; в нём район Рыбный тупик и Нижний Город. Переводить смыслом; в русском пишется и с прописной, и со строчной - как название города давать с прописной."
loc_fish_deadend,Рыбный тупик,,,,,,,,,,,"Портовый район-трущобы Столицы: раменная, бани, барахолка, чайный домик, пристань. Название говорящее и ироничное («лучшая часть Столицы»), переводить смыслом, а не транслитерировать. Русские реплики этого листа пока не переведены ни на один язык - перевода-образца в исходнике нет."
loc_lower_city,Нижний Город,,,,,,,,,,,"Опасный район Столицы, через который Леон идёт по крышам; там же вход в туннели к Архивам. Переводить смыслом, оба слова с прописной. Перевода в исходнике нет."
loc_archives,Архивы,,,,,,,,,,,"Хранилище всех старых документов Империи - родословные, отчёты, переписи; там герои ищут след Аки. Переводить смыслом. В исходнике встречается и «Архивы», и «Архив» - согласовать число. Перевода в исходнике нет."
loc_tea_house,чайный домик,tea house,,,,,,,,,,"Заведение госпожи Яэко в Рыбном тупике, где работают Цуру, Момо и гейша Хина; источник заданий и проводников по городу. Переводить смыслом."
loc_flea_market,барахолка,,,,,,,,,,,"Рынок в Рыбном тупике, где торгует Хадзуо; его самого зовут «барахольщик», а товар - «барахло». Разговорное слово, сохранять сниженный регистр; выбрать пару «барахолка/барахольщик» так, чтобы каламбур сохранялся. Перевода в исходнике нет."
loc_baths,бани,,,,,,,,,,,"Общественные бани в Рыбном тупике, «шикарное место для расслабления»; там пьёт рыбак Унаги. В русском только множественное число. Перевода в исходнике нет."
loc_ramen_shop,раменная,,,,,,,,,,,"Лапшичная Мотоки, главное место Рыбного тупика; за ней подсобка, где ночуют герои. Переводить как заведение с раменом. Перевода в исходнике нет."
loc_thousand_trifles,«Тысяча мелочей»,,,,,,,,,,,"Название лавки Хадзуо, в русском в кавычках-ёлочках. Переводить смыслом как вывеску лавки старьёвщика и сохранять кавычки по нормам целевого языка. Перевода в исходнике нет."
loc_pier,пристань,,,,,,,,,,,Пристань Рыбного тупика: там стоит корабль пиратов («морские волки») и должен быть рыбак. Перевода в исходнике нет.
loc_iwamoto_mines,Шахты Ивамото,Iwamoto Mines,Mines d'Iwamoto,Miniere di Iwamoto,Iwamoto-Minen,岩本鉱山,이와모토 광산,Minas de Iwamoto,岩本矿场,岩本礦場,Minas Iwamoto,"Название второго уровня игры, выводится на экране и в текстах плейтеста. Ивамото - фамилия, транслитерировать, согласовать с Кадзуо Ивамото и Замком Ивамото. Внутри уровня локация зовётся просто «шахты» / «рудники»."
loc_iwamoto_castle,Замок Ивамото,Iwamoto Castle,château d'Iwamoto,Castello di Iwamoto,Burg Iwamoto,岩本城,이와모토 성,Castelo de Iwamoto,岩本城,岩本城,castillo de Iwamoto,"Локация, где противники хвастаются убийствами. Та же фамилия, что у Кадзуо Ивамото и Шахт Ивамото - согласовать написание во всех трёх."
loc_castle_gardens,Сады замка,Castle Gardens,,,,,,,,,,"Локация, упомянутая противниками в демо. Переводить смыслом."
loc_kojo13,Коджо-13,Kojo-13,,,,小城13,,,,,,"Секретный объект Империи с генераторной, куда Павваро велит доставить пленных ёкаев «светлым умам». Транслитерировать с сохранением номера через дефис. РАЗНОЧТЕНИЕ: Kojo-13 и Kojō-13 - выбрать одно."
loc_otstoynik,Отстойник,Dump,Bassin de décantation,Discarica,Müll,捨ててしまえ,버리기,Lixo,废料坑,廢料坑,Vertedero,"Свалка отработанных нелюдей на шахтах; туда же выбросили Аки - сюжетно важное место, не бытовой мусорный бак. Переводить как «отстойник/яма для отходов», единообразно во всех строках. КРУПНОЕ РАЗНОЧТЕНИЕ: одно и то же место названо Damp, Dump и Sewer - три разных слова; во французском в одной строке вместо названия стоит фраза «Débarrasse-toi de ça» («выброси это»), это ошибка. Японское 捨ててしまえ и корейское 버리기 - тоже не название места, а команда «выброси»; эти два значения требуют замены на существительное. Значения для языков кроме английского взяты из вычитанной версии листа как более осмысленные."
loc_coal_tunnels,Угольные штольни,Coal Tunnels,,,,,,,,,,"Заброшенная секция шахт, надпись на указателе; в исходнике вторая строка «[ЗАБРОШЕНО]» отделена переносом строки - перенос сохранять."
loc_main_elevator,Главный лифт,Main elevator,Ascenseur principal,Ascensore principale,Hauptaufzug,メインエレベーター,주 엘리베이터,Elevador principal,主电梯,主電梯,Ascensor principal,Надпись-указатель на шахтах. Цель уровня - добраться до него. Отличать от «Технический лифт».
loc_service_elevator,Технический лифт,Service elevator,Ascenseur de service,Ascensore di servizio,Lastenaufzug,貨物用エレベーター,화물용 엘리베이터,Elevador de serviço,货运电梯,貨運電梯,Ascensor de servicio,Надпись-указатель на шахтах. Отличать от «Главный лифт».
loc_factory,Завод,Factory,,,,工場,,,,,,"Предприятие Павваро, где из дзинко добывают ману; Токура хочет его остановить. Переводить смыслом, с прописной как название объекта."
loc_temple_innara,храм Иннары,Temple of Innara,Temple d'Innara,Tempio di Innara,Tempel von Innara,インナラ神殿,,Templo de Innara,因纳拉神庙,伊納拉神殿,Templo de Innara,"Храм в родной деревне дзинко, где смотрительницей была Сэри-Молния; место воспоминания, а не реальная локация. НЕ ПУТАТЬ с горным храмом Бога Смерти - это разные храмы."
loc_temple_ascension,храм Возвышения,,,,,,,,,,,"Изначальное имя горного храма до того, как он стал храмом Бога Смерти; символ силы, знаний и гордыни. Переводить смыслом. В исходнике эта строка не переведена ни на один язык."
loc_temple_death,храм Бога Смерти,temple of the God of Death,,,,,,,,,,"Разрушенный горный храм с временными петлями - целый уровень игры. Внутри также «храм смерти», «Храм» с прописной. Переводить единообразно."
loc_silence_hall,зал молчания,silence room,,,,,,,,,,"Зал храма, где любое движение означает смерть - первый этап обретения веры. Рядом «зал для осмысления». Переводить смыслом."
loc_upper_chapel,верхняя часовня,upper chapel,,,,,,,,,,Укрытие культа при штурме храма Империей. Переводить смыслом.
loc_main_sanctuary,главное святилище,main sanctuary,,,,,,,,,,Центральный зал храма. Переводить смыслом.
loc_burial_ground,могильник,graveyard,,,,,,,,,,"Как Рей и Джо называют храм, полный костей и тысяч трупов. Слово мрачное и неуютное - сохранять оттенок «свалка мертвецов», а не нейтральное «кладбище»."
loc_arena,арена,Arena,,,,,,,,,,"Бойцовская арена, где чемпионом был Кума. В исходнике встречается только в связке «Чемпион арены»."
loc_barracks,казармы,barracks,,,,兵舎,,,,,,Помещение стражи на шахтах с едой и картами; туда прорываются мертвяки. В русском множественное число.
loc_lower_levels,нижние ярусы,lower levels,,,,下層,,,,,,"Глубокие уровни шахт, где обычно находится Главный Надзиратель. В этой же строке русский говорит «рудников», хотя везде далее - «шахты»; в переводе держать один термин для шахт."
loc_mansion,особняк,mansion,,,,,,,,,,"Поместье семьи Маста - локация Пролога; на его вершине покои хозяина. ВНИМАНИЕ: в японском переводе особняк местами превращён в 城 (замок), в другом месте - в マスタ邸; согласовать."
event_great_war,Великая война,Great War,,,,,,,,,,"Война, после которой ёкаев не видели; Павваро помнит её лично. Переводить смыслом, с прописной как название исторического события."
lore_qi,Ци,Qi,,,,気,,,,,,"Мировая энергия жизни и главный игровой ресурс: тратится на умения, копится с убийств, щитов и сосудов. Ключевой термин игры. Транслитерировать по восточной традиции (Qi / 気), не переводить как energy или mana. РАЗНОЧТЕНИЕ РЕГИСТРА: в подсказках и репликах пишется капсом (ЦИ / QI), в справочнике - Ци / Qi; в одной строке «Твоя ци» ошибочно переведено как «Your mana». Досье из листа Terms: Ци - это мировая энергия жизни, то что пронизывает все вокруг. Она питает жизнью все живые органзимы, растения, животных и людей. В ком-то она выраженна сильнее, в ком-то слабее. Люди сильные носители ци, однако не могут ею пользоваться. Зато они научились извлекать ци из других существ (а точнее - нелюдей), чтобы потом использовать ее как мощный источник энергии. Цвет спокойного Ци - нефритовый, в зависимости от эмоций, которые испытывает существо этот цвет может меняться."
lore_mana,мана,mana,,,,マナ,,,,,,"Энергия, которую Империя добывает из дзинко на Заводе и делает из неё оружие; Кадзуо и Павваро живут на её вливаниях. В исходнике мана и ци не разграничены явно, но это РАЗНЫЕ термины - не переводить ману как ци и наоборот."
lore_chakra,чакра,chakra,,,,チャクラ,,,,,,Единица измерения запаса ци у рас в имперском отчёте («никто не приблизился к этим полу-лисам по запасу их чакр»). Транслитерировать по устоявшейся традиции языка.
item_awamori,авамори,awamori,,,,泡盛,,,,,,"Лечебное зелье, восстанавливающее здоровье; на деле делается из ци нелюдей - сюжетно важная деталь. Название реального окинавского напитка, транслитерировать по японской традиции. РАЗНОЧТЕНИЕ: awamori и avamori вперемешку, местами с прописной; канон - awamori."
