ru,en,fr,it,de,ja,ko,pt-PT,zh-CN,zh-TW,es,notes
Светочь,Saint,,,,,,,,,,"Титул главы культа Бога Смерти (он же Юсэи), так его зовут последователи - с придыханием, почти как молитву. Переводить как религиозный титул («светоч, святой»), не транслитерировать. РАЗНОЧТЕНИЕ в русском: Светочь и Светоч; выбрать одно."
Лжепророк,False Prophet,,,,,,,,,,"Титул, которым Империя называет Светоча. Переводить смыслом, одним словом или устойчивым сочетанием. РАЗНОЧТЕНИЕ регистра в английском: the false prophet и the False Prophet - привести к одному."
Бог Смерти,God of Death,,,,,,,,,,"Титул божества культа в горном храме; им стал Юсэи. Переводить смыслом. В исходнике регистр скачет: «Бог Смерти», «бог смерти», встречается и «Демон Смерти» - привести к одному написанию."
Демон Бесконечности,demon of infinity,,,,,,,,,,"Второй титул Юсэи в устах Джо, звучит как зловещее пророчество. Переводить смыслом."
Дзинко,Jinko,,,,忍狐,,,,,,"Название расы, мужской род, одушевлённое; в русском не склоняется по числам единообразно - встречается «дзинко» и в ед., и во мн. числе. Полу-люди полу-лисы, накапливают больше всего ци, поэтому Империя держит их как сырьё. Транслитерировать, не переводить как «лис». РАЗНОЧТЕНИЕ: Jinko, Jinco, Dzinko, Zinko и ошибочное «zinc-headed»; в китайском 金科 / 金子 / 金虎 / 人狐. Канон - Jinko / 忍狐. Досье из листа Terms: Полу-люди, полу-лисы. Нелюди. Дзинко - мужской эквивалент ""китцуне"". Среди магических существ они считаются чуть ли не легендарными т.к. они могут аккамулировать очень много ци, больше чем все остальные расы."
Ёкаи,Yōkai,,,,妖怪,,,,,,"Демоны мира Холлспик из потустороннего измерения, жестокие и могущественные; к нелюдям отношения не имеют, хотя люди верят в обратное. Транслитерировать по японской традиции. РАЗНОЧТЕНИЕ: Yōkai с макроном и yokai без него, в русском «Ёкаи» и «йокай» - привести к одному. Досье из листа Terms: Ёкаи - это демоны мира Холлспик. По местному поверию, именно из-за смешения людской крови и крвои ёкаев появились нелюди. Но это неправда, ёкаи не имеет ничего общего с нелюдьми и людьми. Они живут в своем потустороннем измерении, управляемые Императором Демонов. Они жестоки, кровожадны и могущественны. Если бы они могли, то давно бы завоевали мир людей."
Тэнгу,Tengu,,,,,,,,,,"Ёкаи, вселившиеся в тела воскрешённых людей и водившие Светоча за нос; говорят издевательски. Транслитерировать по японской традиции. В русском тексте реплик слово не звучит - оно есть только в служебной колонке персонажей."
ворон,raven,,,,,,,,,,"Птица, укравшая колокольчик Рея; отдельная погоня-мини-квест, Леон её люто ненавидит. ВАЖНО: в английских строках крика «Сaw-caw!» первая буква - кириллическая С вместо латинской C, ошибка кодировки во всех репликах этого персонажа. Крик передавать звукоподражанием целевого языка, а не транслитерацией русского «Кар!»."
Империя,Empire,,,,帝国,,,,,,"Человеческая Империя, поработившая нелюдей; главный антагонист сеттинга. Переводить смыслом, с прописной буквы как название государства. Частые связки: Империя Людей, воин Империи, инженеры Империи, головорезы Империи, флаг Империи."
Столица,capital,,,,,,,,,,"Главный город Империи, цель героев после храма; в нём район Рыбный тупик и Нижний Город. Переводить смыслом; в русском пишется и с прописной, и со строчной - как название города давать с прописной."
Коджо-13,Kojo-13,,,,小城13,,,,,,"Секретный объект Империи с генераторной, куда Павваро велит доставить пленных ёкаев «светлым умам». Транслитерировать с сохранением номера через дефис. РАЗНОЧТЕНИЕ: Kojo-13 и Kojō-13 - выбрать одно."
храм Бога Смерти,temple of the God of Death,,,,,,,,,,"Разрушенный горный храм с временными петлями - целый уровень игры. Внутри также «храм смерти», «Храм» с прописной. Переводить единообразно."
зал молчания,silence room,,,,,,,,,,"Зал храма, где любое движение означает смерть - первый этап обретения веры. Рядом «зал для осмысления». Переводить смыслом."
верхняя часовня,upper chapel,,,,,,,,,,Укрытие культа при штурме храма Империей. Переводить смыслом.
главное святилище,main sanctuary,,,,,,,,,,Центральный зал храма. Переводить смыслом.
могильник,graveyard,,,,,,,,,,"Как Рей и Джо называют храм, полный костей и тысяч трупов. Слово мрачное и неуютное - сохранять оттенок «свалка мертвецов», а не нейтральное «кладбище»."
Великая война,Great War,,,,,,,,,,"Война, после которой ёкаев не видели; Павваро помнит её лично. Переводить смыслом, с прописной как название исторического события."
Ци,Qi,,,,気,,,,,,"Мировая энергия жизни и главный игровой ресурс: тратится на умения, копится с убийств, щитов и сосудов. Ключевой термин игры. Транслитерировать по восточной традиции (Qi / 気), не переводить как energy или mana. РАЗНОЧТЕНИЕ РЕГИСТРА: в подсказках и репликах пишется капсом (ЦИ / QI), в справочнике - Ци / Qi; в одной строке «Твоя ци» ошибочно переведено как «Your mana». Досье из листа Terms: Ци - это мировая энергия жизни, то что пронизывает все вокруг. Она питает жизнью все живые органзимы, растения, животных и людей. В ком-то она выраженна сильнее, в ком-то слабее. Люди сильные носители ци, однако не могут ею пользоваться. Зато они научились извлекать ци из других существ (а точнее - нелюдей), чтобы потом использовать ее как мощный источник энергии. Цвет спокойного Ци - нефритовый, в зависимости от эмоций, которые испытывает существо этот цвет может меняться."
кимоно,kimono,,,,,,,,,,"Одежда Рея, в которой он прячет змеиную фигурку. ВНИМАНИЕ: в исходнике в английской ячейке этой строки вместо перевода стоит рабочая заметка на русском («Добавить в MINES и нарисовать») - строку нужно перевести с нуля."
ритуальное масло,ritual oil,,,,,,,,,,"Один из трёх предметов для ритуала связи с мёртвыми (колокольчик, маска демона, ритуальное масло); нужно, чтобы возжечь благовония. Переводить смыслом. В исходнике строка не переведена ни на один язык."
маска демона,demon mask,,,,,,,,,,"Предмет для ритуала, открывающий дорогу в мир духов. Переводить смыслом. В исходнике строка не переведена; английская форма восстановлена по смыслу и требует проверки."
колокольчик,bell,,,,,,,,,,"Ритуальный колокольчик монахов, один из трёх предметов для обряда; его крадёт ворон. Отличать от «священные колокола» и «колокол» храма - это разные предметы, уменьшительность важна."
священные колокола,sacred bells,,,,,,,,,,"Большие колокола храма, которые монахи запрещают трогать; отдельно есть задача «заткнуть этот колокол». Отличать от ритуального колокольчика."
фигурка,figurine,,,,,,,,,,"Змеиная фигурка Рея, которую он прячет в кимоно и очень ей дорожит; её крадёт ворон - завязка мини-квеста."
ритуал,ritual,,,,儀式,,,,,,"Обряд связи с мёртвыми, который проводит Джо, собрав три предмета; также «священный ритуал», ради которого дзинко везли в Империю. Переводить смыслом."
печать,seal,,,,,,,,,,"Магическая печать, которой становится тело Светоча, чтобы закрыть дорогу демонам. ОСТОРОЖНО с омонимией: это оттиск-запечатывание, не животное и не штамп."
паства,flock,,,,,,,,,,"Последователи культа Бога Смерти в устах их вождя. Религиозная лексика, сохранять церковный оттенок."
Неофит,Neophyte,,,,,,,,,,Обращение к новичку внутри культа. Религиозная лексика. В исходнике английский перевод этой строки отсутствует.
Месса,Mass,,,,,,,,,,"Служба культа («Месса скоро начнется»). Религиозная лексика, сохранять церковный оттенок."
Монах,monk,,,,,,,,,,"Служители культа в горном храме, а также странствующий предсказатель, сломавший судьбу Юсэи. Религиозная лексика."
культисты,cultists,,,,,,,,,,Как имперские солдаты называют монахов - пренебрежительно («настоящие психи»). Сохранять негативный оттенок; сам культ в тексте назван «культ».
сектанты,cult members,,,,,,,,,,Как Павваро называет культ в приказе. Уничижительно-канцелярское слово в устах командира.
пророчество,prophecy,,,,,,,,,,"Предсказание монаха о том, что Юсэи погубит тысячи - завязка всей истории храма. Связанное выражение - «предсказать судьбу»."
предок,ancestor,,,,,,,,,,"Духи предков Леона, которые передают ему способности: Сэри-Молния даёт Электроудар, Кай - точный удар. Механически это учителя приёмов, а не просто родня."
мир духов,spirit world,,,,,,,,,,Куда открывает дорогу маска демона. Рядом «мир мертвых» - согласовать оба выражения. В исходнике строка не переведена; английская форма восстановлена по смыслу.
точный удар,strike with precision,,,,,,,,,,"Способность, которой учит предок Кай: снайперский выстрел вместо размашистой драки («иногда достаточно пальца»). Термин пока не оформлен как название приёма в UI - при появлении в интерфейсе согласовать."
статуя,statue,,,,,,,,,,"Статуя дзинко, у которой Леон получает новые способности («Дзинко из далёких земель. Даруем тебе новую силу»). Также священные манекены и зловещая статуя в храме - разные объекты, не смешивать."
ящерица,lizard,,,,,,,,,,"Как Леон зовёт Рея. ВАЖНО: обращение обидно именно тем, что нага - змея, а не ящерица; ошибка намеренная, сохранять её, а не исправлять на «змею»."
лис,fox,,,,フォックスめ,,,,,,"Сквозное обращение к Леону от всех подряд - от ласкового до злобного. Мужской род; не «лиса». Пишется и со строчной, и капсом (ЛИС!) - регистр сохранять."
лисёнок,little fox,,,,,,,,,,"Ласково-снисходительное обращение к Леону: у Джо - с издёвкой, у девушек чайного домика - умилённо. Сохранять уменьшительность."
дзинково отродье,jinko spawn,,,,,,,,,,"Оскорбление Леона от ёкая в храме. ВНИМАНИЕ: в исходнике английский перевод «zinc-headed scum» ошибочен - переводчик принял «дзинко» за металл цинк. Переводить как «отродье дзинко», сохраняя название расы."
Паук,Spider,,,,,,,,,,"Как Леон зовёт Джо - и как обозначение расы Джо и Хадзуо («все пауки такие?», «хранители знаний»). Пишется и с прописной как обращение, и со строчной."
Имперская шавка,imperial mongrel,,,,,,,,,,Оскорбление Леона от культистов: обвинение в службе Империи. Сохранять собачью образность - она обидна вдвойне для лиса.
Господин,Sir,,,,,,,,,,"Обращение солдат к Павваро и стражи к начальству. Уставное обращение, переводить принятой в языке военной формой."
дитя,child,,,,,,,,,,"Как Сэри-Молния обращается к Леону - по-стариковски, покровительственно. РАЗНОЧТЕНИЕ: child и kid вперемешку; «дитя» звучит архаично, английское kid этот оттенок теряет."
зверь,beast,,,,,,,,,,"Как люди говорят о Леоне и о Пудже - «возьмите зверя», «ну ты и зверь». Обесчеловечивающее слово, ключевое для темы рабства."
червяк,worm,,,,,,,,,,"Как Леон подкалывает Рея, когда того утаскивают в гнездо; позже он же его защищает: «Он вам не ЧЕРВЯК». Обе строки должны переводиться одним словом, иначе шутка рассыпается."
