ru,en,tr,fr,note
Послушник,Apprentice,Çırak,novice,"Начальная ступень в общине Чистых; так к игроку обращаются весь их арк. Замер: 26 строк, «apprentice» 12 / «Apprentice» 10 / «novice» 1."
Святая,Saint,Aziz,Sainte,"Титул Плесенки у Чистых. Всегда с заглавной, это титул, а не прилагательное. Замер: 10 строк, один раз строчное «a saint»."
Истина,Truth,Hakikat,Vérité,"Догмат Чистых, к которому ведёт «долгий путь». Заглавная. Замер: 5 строк, 2 «Truth» против 2 «truth»."
Вера,Faith,İnanç,Foi,"Вероучение Чистых как институт. Заглавная, когда это учение, строчная - только про бытовое доверие. Замер: 12 строк, «faith» 7 / «Faith» 4 / «belief» 1."
Добродетель,Virtue,Erdem,Vertu,Предписанная Чистыми цель «творить только Добродетель». Заглавная.
Ритуал Очищения,Purification Ritual,Arınma Ritüeli,rituel de Purification,"Обряд посвящения у Чистых, поворотная точка сюжета. Оба слова с заглавной."
Гнилушка,Rotling,Rotling,Pourriton,"Детская страшилка Гигахруща, вызывается перед зеркалом; женский род. Имя собственное, не переводится описательно."
Сущность,Entity,Varlık,Entité,"Плесневая сущность внутри носителя; терминология ЭВМ и НИИ («Отделить сущность от субъекта»). Заглавная, когда речь об объекте исследования. Замер: 10 строк, «Entity» 8 / «entity» 3."
Альтер Эго,Alter Ego,Alternatif Benlik,Alter Ego,Захватившая тело Насти сущность; название способности в интерфейсе. Оба слова с заглавной.
Семисменок,Seven-shift,Yedi vardiya,sept quarts,"Единица времени Гигахруща - семь смен, местный аналог недели. Замер: 18 строк; «seven-shift» 11, но 3 раза «week» и 1 раз «seven minutes»; в турецком «yedi dakika» (семь минут) вместо «yedi vardiya». Французский вариант задан глоссарием: в прогоне ru->fr он не установился."
Цикл,Cycle,Döngü,cycle,"Единица времени Гигахруща, местный аналог года; ей же измеряют возраст («вам уже пять циклов»). Не «year». Замер: 38 строк, дважды «year(s)»."
Смена,Shift,Vardiya,quart de travail,Рабочая смена как единица времени и трудовая повинность; из неё собран семисменок. Не «minute» и не «day». Замер: 47 строк.
Балл,Point,Puan,point,"Школьная оценка поведения; отрицательный балл - взыскание, влияющее на право нести знамя. Один рендеринг: «point». Замер: 24 строки, «point(s)» 25 / «score» 3 / «demerit» 2."
Хозяйство,Household,Hane,,Производственная единица Гигахруща со своим знамени и старшинством; из них состоит ЧЗХ. Старшинство хозяйств определяет порядок колонны. В турецком корпусе отдельного слова нет: «Hane» задаётся глоссарием.
Устав,Charter,Tüzük,,"Устав ликвидационного корпуса - книжка, которую курсанты заучивают наизусть. Замер: 11 строк, «charter» 5 / «rules» 3 / «regulations» 2."
Пионер,Pioneer,Öncü,pionnier,"Член детской организации Партии; звание, а не общее слово «первопроходец». Заглавная в обращении и в возгласах. Замер: 36 строк."
Желенин,Jellenin,Jellenin,Jellenin,"Основатель государства, пародия на Ленина; его именем назван Шарикоподшипниковый Цех, ему приписан лозунг про учёбу. Транслитерация фиксирована: не «Lenin». Французский вариант задан глоссарием: в прогоне ru->fr он не установился."
Танцевалов,Tantsevalov,Tantsevalov,Tantsevalov,"Автор боевой техники комиссаров («удары по технике Танцевалова»). Фамилия, не описание танца. Замер: 2 строки, в одной en «Dance-style», в другой tr «dans hareketi». Французский вариант задан глоссарием: в прогоне ru->fr он не установился."
Слизь,Slime,Balçık,limon,"Продукт самосбора, который убирают ликвидаторы; предмет изучения НИИ. Замер: 17 строк, один раз «mucus». Французский вариант задан глоссарием: в прогоне ru->fr он не установился."
НИИ Слизи,Slime Research Institute,Balçık Araştırma Enstitüsü,Institut de recherche sur les limons,"Научный институт Партии, изучающий слизь и сущности; место работы игрока в одной из ветвей. Название целиком, «НИИ» не разворачивается иначе."
Сухпай,Dry rations,Kurutulmuş erzak,rations sèches,"Сухой паёк ликвидатора и награда от имени Партии; отсюда же «сухпайконцентрат». Замер: 8 строк, «dry ration(s)» 5 / «rations» 2."
Паёк,Ration,Erzak,ration,"Норма выдачи пищконцентрата; её сокращают как наказание. Не смешивать с сухпаем: паёк - норма, сухпай - носимый набор."
Ветеран труда,Labor veteran,Kıdemli işçi,vétéran du travail,"Отработавший свои смены житель, живущий в отдельном сегменте ячеек; пионеры к нему приставлены помогать. Замер: 6 строк, «labor» против «labour» вперемешку."
Бетоноед,Concrete eater,Beton yiyici,mangeur de béton,"Лабораторное животное НИИ, сидит в клетке. Замер: 5 строк; в турецком «konsantre yiyici» (поедатель концентрата) вместо бетона."
Классная руководительница,Homeroom teacher,Sınıf öğretmeni,,"Школьная должность, снимающая баллы и допускающая к знамени. Женский род в источнике, в переводе род не обязателен."
Игор,Igor,Igor,Igor,"Послушник Чистых, вербующий игрока; отдельный персонаж, не путать с ликвидатором Игорем из глоссария - в источнике имя без мягкого знака. Замер: 44 строки, транслитерация «Igor» устойчива."
Спиридон Самосборович,Spiridon Samosborovich,Spiridon Samosborovich,Spiridon Samosborovitch,"Крыса-питомец с человеческим отчеством от слова «самосбор»; отчество несёт шутку и не выбрасывается. Замер: 6 строк, отчество передано лишь в одной. Французский вариант задан глоссарием: в прогоне ru->fr он не установился."
Людмила Михайловна,Lyudmila Mikhailovna,Lyudmila Mihaylovna,Lyudmila Mikhaïlovna,"Школьная работница, ведущая пионеров к ветеранам труда. Имя и отчество целиком, отчество не заменяется на «Bayan». Французский вариант задан глоссарием: в прогоне ru->fr он не установился."
Сидоров,Sidorov,Sidorov,Sidorov,Однокурсник Петя Сидоров из ликвидаторского училища; фамилия используется отдельно как обращение.
Серёга,Sergei,Sergei,Seryoga,"Товарищ по отряду, погибает в самосборе; уменьшительное от Сергея, в переводе передаётся полным именем единообразно."
Бальзаминов Песок Палыч,Balzaminov Pesok Palych,Balzaminov Pesok Palych,,"Ветеран труда, к которому приставлена Настя; имя-отчество - шутка (песок, «Палыч»), передаётся транслитерацией целиком."
Ботан,Nerd,Çokbilmiş,,"Кличка курсанта-отличника, употребляется с воинским званием («рядовой Ботан»). Кличка, а не общее «умник»."
Курсант,Cadet,Harbiyeli,cadet,"Учащийся ликвидаторского училища; из курсантов набирают отряды. Замер: 23 строки, «cadet(s)» устойчиво."
Зачистка,Cleanup,Temizlik,nettoyage,Штатная операция ликвидаторов после самосбора: выжигание слизи и вывоз останков. Не «purge» и не «sweep».
Мутант,Mutant,Mutant,mutant,"Житель, изменённый плесенью; в курсе хим. защиты противопоставлен порождению самосбора. Замер: 21 строка."
Порождение самосбора,Samosbor creature,Samosbor yaratığı,,"Существо, возникшее в момент самосбора; экзаменационное отличие от мутанта. «Самосбор» внутри термина сохраняет транслитерацию."
Ликвидационный корпус,Liquidation Corps,Likidatör Birlikleri,Corps de liquidation,"Военизированная структура ликвидаторов со своим уставом и начальником по блоку. Оба слова с заглавной. Замер: 5 строк, 3 раза строчными."
ГРАВИЖЕРНОВ,Gravity-Mill,Yerçekimi Değirmeni,,"Оружие НИИ, стреляющее гравитационными аномалиями; в интерфейсе капсом. Дефис в английском сохраняется. Замер: 4 строки."
Гриб,Mushroom,Mantar,champignon,"Основная пища жителей Гигахруща, альтернатива концентрату; сырьё Чистых. Замер: 13 строк."
Топливо,Fuel,Yakacak,carburant,"Ресурс, который Чистые собирают в мусоре для Костра; наравне с едой мотив их выходов наружу. Замер: 11 строк."
Мусор,Trash,Çöp,déchets,"Кучи отбросов Гигахруща, источник топлива и вещей для Чистых. Замер: 20 строк, «trash» 15 / «rubbish» 2 / «junk» 1 / «garbage» 1."
Палатка,Tent,Çadır,tente,"Жильё в лагере Чистых, противопоставлено ячейке Гигахруща. Замер: 17 строк."
Балахон,Robe,Cüppe,,"Одежда Чистых; цвет различает роли (белые - община, чёрные - мусорщики). Замер: 7 строк, «robe» и «hooded robe» вперемешку."
Столовая,Cafeteria,Kantin,cantine,Пункт выдачи горячего питания в школе и НИИ; место сюжетных сцен с талонами. Замер: 9 строк.
Санитар,Paramedic,Sağlık görevlisi,,"Медработник Гигахруща: колет морфий, меняет пелёнки; в женском роде «санитарка». Не «nurse», когда речь о медпункте ликвидаторов."
Огнемёт,Flamethrower,Alev makinesi,lance-flammes,"Штатное средство ликвидатора против слизи, носится ранцем. Замер: 8 строк."
Ментальное здоровье,Mental health,Akıl sağlığı,santé mentale,"Игровой параметр, который падает от зачисток и сцен насилия; в текстах смерти формулируется как порог. Термин интерфейса, переводится единообразно."
Медпункт,Medical center,Revir,infirmerie,"Медицинский пост блока и школы. Замер: 2 строки, «medical center» против «revir/sağlık merkezi» - выбрать один рендеринг на язык."
Продхранилище,Food storage,Yiyecek deposu,,"Склад пищконцентрата блока; сюжетное место, где запирают бомжа. Сокращение из «продовольственное хранилище», в переводе не расшифровывается длиннее."
Обращённый,Converted,Dönüşmüş,converti,"Житель, перешедший под контроль плесени во время самосбора. Замер: 3 строки, в турецком слово потеряно целиком."
Сектор,Sector,Sektör,secteur,"Территориальная единица Гигахруща с буквенно-цифровым кодом (ХЗ-33, Г-Х3-22); код не переводится и не переставляется. Замер: 6 строк."
Бетоноточка,Concrete head,Beton kafa,,"Ругательство жителей Гигахруща по образцу «бетон»; ругательство, а не название объекта."
Шарикоподшипниковый Цех имени Желенина,Jellenin Ball Bearing Plant,Jellenin Bilyalı Rulman Fabrikası,,"Завод, названный в честь Желенина; пропуск - ликвидаторская корочка. Имя в названии сохраняет транслитерацию «Jellenin»."
Хим. защита,Chemical defense,Kimyasal savunma,,"Учебный предмет в училище ликвидаторов, с журналом посещений. Замер: 1 строка, в турецком предмет не назван."
Сверхурочные,Overtime,Fazla mesai,,"Дополнительные смены, из-за которых родители не приходят домой; ими же мотивировано ЧЗХ."
Койка,Bunk,Ranza,couchette,"Спальное место в казарме и медпункте. Замер: 6 строк, «bunk» 3 / «bed» 2 / «cot» 1; в турецком «ranza» и «yatak» вперемешку."
Красный концентрат,Red concentrate,Kırmızı konsantre,concentré rouge,"Дефицитный сорт пищконцентрата, выдаётся по талону и служит признаком привилегии. Замер: 4 строки."
Новый Цикл,the New Cycle,Yeni Döngü,Nouveau Cycle,"Главный праздник Гигахруща, аналог Нового года; в источнике оба слова с заглавной и в кавычках. Пришёл из ручного глоссария (glossary-col4-flat). Замер: 1 строка, EVENT_363."
ёЛ-К4,X-MAS-3,X-MAS-3,X-MAS-3,"Живое «изделие» вместо ёлки, которое к концу праздника умирает; в переводах всегда в кавычках и одинаково во всех языках. Название - шифр по образцу заводской номенклатуры, не переводится и не транслитерируется. Пришёл из ручного глоссария (glossary-col4-flat). Замер: 4 строки, EVENT_363/365."
