context	ru	de	en	es	fr	it	ja	ko	zh_Hans	zh_Hant
hub1_first_1_11	Все пауки такие?	Sind alle Spinnen so?	All you Spiders like that?	¿Todos los arañas son así?	Tous les araignées sont comme ça ?	Tutti i ragni sono così?	蜘蛛ってみんなこんな感じかよ？	거미들은 다 이래?	所有蜘蛛都这样吗？	所有蜘蛛都這樣嗎？
hub1_first_1_12	Хранители знаний, да	Hüter des Wissens, ja	Keepers of knowledge, yes	Guardianes del saber, sí	Gardiens du savoir, oui	Custodi della conoscenza, sì	知識の守護者、そうですね	지식의 수호자라, 그래	知识的守护者，没错。	知識的守護者，沒錯。
hub1_first_1_13	Скукота.	Langweilig.	Boring	Qué aburrimiento.	Ennuyeux	Che noia.	つまんねえな。	지루해.	无聊。	真無聊。
hub1_first_1_14	Очень интересно. И спасибо, что подкинули нас.	Sehr interessant. Und danke, dass Sie uns mitgenommen haben.	Very interesting. And thank you for the ride.	Muy interesante. Y gracias por traernos.	Très intéressant. Et merci de nous avoir déposés.	Molto interessante. E grazie per averci dato un passaggio.	とても興味深いです。それに、私たちを助けてくれてありがとうございます。	매우 흥미롭군요. 그리고 저희를 던져주셔서 감사합니다.	非常有趣。还有，谢谢你们捎我们一程。	很有趣。謝謝你載我們一程。
hub1_first_1_15	Без проблем.	Kein Problem.	No problem	De nada.	Pas de problème	Nessun problema.	問題ないよ。	별말씀을.	不客气。	沒問題。
hub1_first_1_16	Не мог пройти мимо вас, тем более напоминаете мне племянников.	Ich konnte nicht an euch vorbeigehen, zumal ihr mich an meine Neffen erinnert.	Couldn't just pass you by, especially since you remind me of my nephews	No podía pasar de largo, y más cuando me recordáis a mis sobrinos.	Je ne pouvais pas vous laisser, d’autant plus que vous me rappelez mes neveux	Non potevo non aiutarvi, soprattutto perché mi ricordate i miei nipoti.	見逃すわけにはいかなかった、特に君たちが甥っ子たちを思い出させるからね。	지나칠 수 없었어, 게다가 네들이 내 조카들을 떠올리게 하니.	我实在没法对你们视而不见，更何况你们让我想起了我的侄子们。	我不能錯過你們，更何況你們讓我想起了我的侄子們。
hub1_first_1_17	Только… с чешуей и шерстью.	Nur … mit Schuppen und Fell.	Only… with scales and fur.	Solo que… con escamas y pelo.	Seulement… avec des écailles et de la fourrure.	Solo… con squame e pelliccia.	ただ…鱗と毛皮付きで。	다만… 비늘과 털이 달린.	只不过……带着鳞片和皮毛。	只是…一個有鱗片，一個有毛髮。
hub1_first_1_18	Заглядывайте ко мне в «Тысячу мелочей»!	Schaut mal bei mir in den „Tausend Kleinigkeiten“ vorbei!	"Stop by my ""Thousand Trinkets"" sometime!"	¡Pasaos por mi «Mil baratijas»!	Passez me voir à la « Mille et une babioles » !	Venite a trovarmi a «Mille Cose»!	私の「千の雑貨」にも遊びに来てください！	「천 가지 잡동사니」에 들러보게!	有空来我的“千奇百怪”杂货铺坐坐！	歡迎隨時來我的「千種雜貨」！
hub1_first_1_19	Хорошо, спасибо!	Gut, danke!	Alright, thank you!	¡De acuerdo, gracias!	D’accord, merci !	Bene, grazie!	はい、ありがとうございます！	네, 감사합니다!	好的，谢谢！	好的，謝謝！
hub1_first_1_20	У меня здесь есть свои дела. Встретимся позже	Ich habe hier meine eigenen Angelegenheiten. Wir sehen uns später	I have my own business here. See you later	Tengo mis propios asuntos aquí. Nos vemos luego	J’ai mes propres affaires ici. On se voit plus tard	Ho i miei affari qui. Ci vediamo dopo	ここで用事がある。後で会おう	나 여기 할 일이 있네. 나중에 보자	我在这里还有些事要办。我们晚点见。	我這裡還有事。我們晚點再見。
hub1_first_1_21	А как мне тебя найти?	Und wie finde ich dich?	How am I gonna find you?	¿Y cómo te encuentro?	Et comment je te trouve, moi ?	E come faccio a trovarti?	どうやったらお前を見つけられるんだ？	어떻게 널 찾으면 돼?	那我怎么找你？	那我怎麼找你？
hub1_first_1_22	Я тебя сам найду.	Ich werde dich selbst finden.	I'll find you myself.	Yo te encontraré.	Je te trouverai moi-même.	Ti troverò io.	俺が自分で見つけてやる。	내가 직접 널 찾을 거야.	我会自己找到你的。	我會自己找到你的。
hub1_first_1_23	У меня от него чешуя дыбом стоит.	Mir stellen sich die Schuppen auf, wenn ich ihn sehe.	He makes my scales crawl.	Se me erizan las escamas con él.	Il me donne la chair de poule.	Mi fa rizzare le squame.	あいつのせいで鱗が逆立つぜ。	쟤만 보면 온몸에 소름이 끼쳐.	他让我鳞片都竖起来了。	他讓我鱗片都豎起來了。
hub1_first_1_24	Серьезно, Хадзуо его собрат, но рядом с ним, я не чувствую такого страха.	Im Ernst, Hazuo ist sein Bruder, aber in seiner Nähe verspüre ich keine solche Angst.	Seriously, Hazuo's his kin, but I don't feel that kinda fear around him.	En serio, Hazuo es su hermano, pero a su lado no siento tanto miedo.	Sérieusement, Hazuo est son frère, mais à côté de lui, je ne ressens pas une telle peur.	Seriamente, Hazuo è un suo simile, ma vicino a lui non sento questa paura.	本当に、ハズオはあいつの同族だけど、あの横にいるとこんな恐怖は感じない。	진짜로, 하즈오는 쟤 동족인데도 쟤 옆에 있을 때만큼 두렵지 않아.	说真的，哈祖欧是他同族，但在他身边我没感觉到这种恐惧。	說真的，葉月是他的同伴，但在他身邊，我卻沒有那種恐懼感。
hub1_first_1_25	А я думал, вы лучшие подружки.	Ich dachte, ihr wärt beste Freundinnen.	I thought you two were besties.	Y yo que pensaba que erais las mejores amigas.	Et moi qui pensais que vous étiez les meilleures amies du monde.	E io che pensavo foste migliori amiche.	てっきり親友同士かと思ってたぜ。	둘이 죽이 잘 맞는 친구인 줄 알았는데.	我还以为你们是最好的闺蜜呢。	我還以為你們是最好的朋友呢。
hub1_first_1_26	Ха-ха. Что будем дальше делать?	Ha-ha. Was machen wir als Nächstes?	Haha. What're we gonna do next?	Ja, ja. ¿Qué hacemos ahora?	Ha-ha. Qu'est-ce qu'on fait maintenant ?	Ah-ah. Cosa facciamo adesso?	はは。次はどうする？	하하. 이제 뭐 할까?	哈哈。我们接下来做什么？	哈哈。我們接下來要做什麼？
hub1_first_1_27	Кажется, я не ел целую вечность.	Ich glaube, ich habe eine Ewigkeit nichts gegessen.	I ain't eaten in ages.	Creo que no he comido en siglos.	J'ai l'impression de n'avoir pas mangé depuis une éternité.	Mi sembra di non mangiare da un'eternità.	永遠ぶりに飯を食ってない気がする。	거의 영겁만에 먹는 것 같아.	感觉我好像一辈子没吃过东西了。	我好像很久沒吃東西了。
hub1_first_1_28	Может, набьём животы?	Sollen wir uns die Bäuche vollschlagen?	How 'bout we fill our bellies?	¿Y si nos llenamos la barriga?	Et si on se remplissait la panse ?	Forse ci riempiamo la pancia?	腹ごしらえしねえか？	빈 속이나 채울까?	要不我们先填饱肚子？	要不要去填飽肚子？
hub1_first_1_29	Можно.	Können wir.	We can.	Vale.	On peut.	Va bene.	いいよ。	그럴까요.	可以。	可以。
hub1_overlook_1_1	Ого! Как же тут… я не знаю… КРАСИВО!	Wow! Wie… ich weiß nicht… SCHÖN!	Whoa! This place is so… I don't know… BEAUTIFUL!	¡Guau! ¡Qué… no sé… QUÉ BONITO!	Oh ! Comme c'est… je ne sais pas… BEAU !	Oh! Com'è qui... non so... BELLO!	うわっ！ここは…なんつーか…キレイだぜ！	와! 여기 얼마나… 뭐라 해야… 예쁘네!	哇！这里真是……我不知道怎么说……太他妈漂亮了！	哇！這裡真是……我不知道……太美了！
hub1_overlook_1_2	Тут? Это же просто трущобы.	Hier? Das ist doch nur ein Elendsviertel.	Here? This is just a slum.	¿Aquí? Esto es solo un barrio bajo.	Ici ? Ce ne sont que des taudis.	Qui? Ma queste sono solo baraccopoli.	ここ？ただのスラム街じゃないか。	여기? 그냥 빈민가잖아.	这里？这不就是贫民窟嘛。	這裡？這只不過是貧民窟罷了。
hub1_overlook_1_3	Я никогда не видел такого большого города!	Ich habe noch nie so eine große Stadt gesehen!	I've never seen such a big city	¡Nunca había visto una ciudad tan grande!	Je n'ai jamais vu une ville aussi grande	Non ho mai visto una città così grande!	こんな大きな街、初めて見たぜ！	이렇게 큰 도시는 처음 봐!	我从没见过这么大的城市！	我從沒見過這麼大的城市！
hub1_overlook_1_4	Думаю, сама Столица тебя поразит!	Ich glaube, die Hauptstadt selbst wird dich umhauen!	I think the capital itself will amaze you	¡Creo que la Capital te sorprenderá!	Je pense que la Capitale elle-même te surprendra	Credo che la Capitale stessa ti sorprenderà!	首都そのものは君を驚かせると思うよ！	수도 자체는 널 더 놀라게 할 거야!	我想，帝都本身就会让你大吃一惊！	我想，首都本身就會讓你大吃一驚！
hub1_overlook_1_5	А тут как раз рамен подают. Пойдем!	Und hier gibt es gerade Ramen. Komm schon!	And they serve ramen right here. Let's go	Y aquí sirven ramen. ¡Vamos!	Et ici, ils servent du ramen. Allons-y	E qui servono proprio il ramen. Andiamo!	ちょうどラーメンが出てるよ。行こう！	여기서 라멘을 파네. 가자!	这儿正好有拉面卖。走吧！	這裡正好有拉麵。我們走吧！
hub1_ramen_1_1	Это что за фигня?!	Was zum Teufel ist das?!	What the fuck is this?!	¿¡Qué coño es esto!?	C'est quoi ce bordel ?!	Che cazzo è questo?!	なんだこりゃ？！	이게 뭐야?!	这他妈是什么玩意儿？！	這是什麼鬼東西？！
hub1_ramen_1_2	Это рамен. Никогда такого не пробовал что ли?	Das ist Ramen. Hast du so etwas noch nie probiert?	It's ramen. You never tried it before?	Es ramen. ¿Nunca lo habías probado?	C'est du ramen. Tu n'en as jamais goûté, c'est ça ?	È ramen. Non l'hai mai provato?	ラーメンだよ。食べたことないの？	라멘이야. 한번도 먹어본 적 없어?	这是拉面。你从来没吃过吗？	這是拉麵。你從沒吃過嗎？
hub1_ramen_1_3	Нет. У нас в деревне такого не готовили.	Nein. In unserem Dorf wurde so etwas nicht gekocht.	Nah. They didn't make this in my village.	No. En mi aldea no cocinaban esto.	Non. Dans notre village, on ne préparait pas ça.	No. Nel mio villaggio non lo cucinavano.	ああ。俺の村じゃこんなの作らなかった。	응. 우리 마을에선 이런 거 안 만들었어.	没有。我们村里不做这个。	沒有。我們村子裡沒人做這個。
hub1_ramen_1_4	А потом я ел только… с пола…	Und danach habe ich nur noch… vom Boden gegessen…	And after that, I only ate… off the floor…	Y luego solo comía… del suelo…	Et après, je n'ai mangé que… par terre…	E dopo ho mangiato solo… dal pavimento…	それからは…床からしか…食べてなくて…	그 다음엔... 바닥에서만 먹었고…	而且后来我只吃……地上的……	然後我只吃過……地上的……
hub1_ramen_1_5	Ясно.	Verstehe.	I see	Ya veo.	Je vois	Capisco.	なるほど。	알겠어.	明白了。	明白了。
hub1_ramen_1_6	Попробуй скорее. Тебе понравится.	Probier es schnell. Es wird dir schmecken.	Try it quickly. You'll like it.	Pruébalo rápido. Te gustará.	Goûte vite. Tu vas aimer.	Provalo subito. Ti piacerà.	早く食べてみて。気に入るよ。	빨리 먹어봐. 마음에 들 거야.	快尝尝吧。你会喜欢的。	快嚐嚐。你會喜歡的。
hub1_ramen_1_7	ЕБАТЬ. КАК. ВКУСНО.	VERDAMMT. IST. DAS. LECKER.	FUCK. THAT'S. GOOD.	¡JODER. QUÉ. RICO.	PUTAIN. QUE. C'EST. BON.	CAZZO. CHE. BUONO.	クソうまい！	씨발. 존나. 맛있네.	卧槽。真。他妈的。好吃。	他媽的。真。好。吃。
hub1_ramen_1_9	Я всегда говорю. Ешь рамен - БУДЕШЬ КАК КАМЕНЬ!	Ich sage immer: Iss Ramen – DANN BIST DU HART WIE EIN STEIN!	I always say. Eat ramen, and you'll BE HARD AS A ROCK!	Siempre lo digo. ¡Come ramen y SERÁS DURO COMO UNA PIEDRA!	Je dis toujours. Mange du ramen — TU SERAS SOLIDE COMME UN ROC !	Lo dico sempre. Mangia ramen e SARAI FORTE COME UNA ROCCIA!	いつも言ってるだろ。ラーメン食えば石のように強くなるぜ！	난 항상 말하지. 라멘을 먹으면 돌처럼 단단해진다고!	我常说。吃了拉面——你就硬如磐石！	我總是說。吃拉麵——你就會像石頭一樣硬！
hub1_ramen_1_10	ЗАТКНИСЬ, СТАРЫЙ! Не приставай к ним!	HALT DIE KLAPPE, ALTER! Belästige sie nicht!	SHUT UP, OLD MAN! Leave 'em alone!	¡CÁLLATE, VIEJO! ¡No los molestes!	TAIS-TOI, VIEUX ! Ne les embête pas	ZITTO, VECCHIO! Non infastidirli!	黙れ、ジジイ！あの人たちに構うな！	닥쳐, 늙은이! 그들한테 시끄럽게 굴지 마!	闭嘴，老东西！别缠着他们！	閉嘴，老頭！別煩他們！
hub1_ramen_1_11	Да я ничего не делал!	Ich hab doch gar nichts gemacht!	But I ain't doin' nothin'!	¡Pero si no he hecho nada!	Mais je n'ai rien fait	Ma non ho fatto niente!	何もしてないってば！	난 아무것도 안 했어!	我啥也没干啊！	我什麼都沒做！
hub1_ramen_1_12	Вот и не делай!	Dann mach auch nichts!	Then don't!	¡Pues no hagas nada!	Alors ne fais rien	E non fare niente!	だったらするな！	그러니까 하지 마!	那就别干！	那就別做！
hub1_ramen_1_13	Нам нужно где-то остановиться.	Wir müssen irgendwo unterkommen.	We need somewhere to stay.	Necesitamos un sitio donde quedarnos.	Nous devons nous arrêter quelque part	Dobbiamo trovare un posto dove stare.	どこか泊まる場所が必要ですね。	우리 잠깐 쉴 곳이 필요해요.	我们需要找个地方落脚。	我們需要找個地方落腳。
hub1_ramen_1_14	Мне все равно!	Ist mir scheißegal!	I don't give a shit!	¡Me da igual!	Je m'en fous	Non mi interessa!	どうでもいいぜ！	난 상관없어!	我无所谓！	我才不管！
hub1_ramen_1_15	Я хочу только узнать, кому продали мою сестру!	Ich will nur wissen, an wen meine Schwester verkauft wurde!	All I wanna know is who my sister was sold to!	¡Solo quiero saber a quién le vendieron a mi hermana!	Je veux juste savoir à qui ma sœur a été vendue !	Voglio solo sapere a chi hanno venduto mia sorella!	俺はただ、妹が誰に売られたか知りたいだけだ！	난 내 누나를 누구한테 팔았는지나 알고 싶을 뿐이야!	我只想知道他们把姐姐卖给了谁！	我只想知道，我的妹妹被賣給了誰！
hub1_ramen_1_16	И как ты это сделаешь?	Und wie willst du das anstellen?	And how will you do that?	¿Y cómo vas a hacer eso?	Et comment vas-tu faire ça ?	E come farai?	どうやって？	그걸 어떻게 알아낼 건데?	你打算怎么做？	你打算怎麼做？
hub1_ramen_1_17	Без понятия.	Keine Ahnung.	No fuckin' idea.	Ni idea.	Aucune idée.	Non ne ho idea.	知るかよ。	모르겠다.	没头绪。	不知道。
hub1_ramen_1_18	Нам нужна комната на несколько дней.	Wir brauchen ein Zimmer für ein paar Tage.	We need a room for a few days.	Necesitamos una habitación para unos días.	Il nous faut une chambre pour quelques jours	Ci serve una stanza per qualche giorno.	数日間、部屋を借りたいのですが。	우리 며칠 묵을 방이 필요해요.	我们需要一个房间住几天。	我們需要一間房間住幾天。
hub1_ramen_1_19	Отлично! А мне нужны постояльцы!	Ausgezeichnet! Und ich brauche Gäste!	Great! And I need lodgers!	¡Genial! ¡Y yo necesito huéspedes!	Parfait ! Et moi, j’ai besoin de clients !	Ottimo! E a me servono degli ospiti!	良かった！宿泊客が欲しかったんだ！	좋아! 나한텐 숙박객이 필요하단 말이야!	太好了！我正需要住客！	太好了！我正需要房客！
hub1_ramen_1_20	Ты подслушивал?	Hast du gelauscht?	Were you eavesdropping?	¿Estabas escuchando a escondidas?	Tu écoutais aux portes ?	Stavi origliando?	盗み聞きしてたのか？	너 엿들었냐?	你偷听了？	你偷聽？
hub1_ramen_1_21	Так я всегда подслушиваю.	Das tue ich immer.	I always eavesdrop.	Siempre escucho a escondidas.	J’écoute toujours aux portes.	Io origlio sempre.	いつも聞いてるよ。	난 항상 엿들어.	我向来都偷听。	我一直都在偷聽啊。
hub1_ramen_1_22	Вы можете спать в подсобке за раменной.	Ihr könnt im Hinterzimmer des Ramen-Ladens schlafen.	You can sleep in the back room behind the ramen shop.	Podéis dormir en el almacén, detrás del ramen.	Vous pouvez dormir dans l’arrière-boutique, derrière le ramen-ya	Potete dormire nel ripostiglio dietro la ramen-ya.	ラーメン屋の裏の物置で寝ていいよ。	라멘 가게 뒤에 있는 창고에서 자도 돼.	你们可以睡在拉面摊后面的储藏室。	你們可以睡在拉麵店後面的儲藏室。
hub1_ramen_1_23	Только учтите! Все шиитаке посчитаны.	Aber seid gewarnt! Alle Shiitake sind gezählt.	Just so you know! All shiitake are accounted for.	¡Pero tened en cuenta! Todos los shiitake están contados.	Mais attention ! Tous les shiitake sont comptés.	Ma attenzione! Tutti gli shiitake sono contati.	ただしな！シイタケは全部数えてあるからな！	단, 명심해! 표고버섯은 다 세놨으니까.	不过记住！所有香菇都清点过了。	不過你們要記住！所有的香菇我都數過了。
hub1_ramen_1_24	… что за нахрен шиитаке…	…was zum Teufel sind Shiitake…	… what the fuck are shiitake…	… ¿qué coño es un shiitake…?	… c’est quoi, ces putains de shiitake…	...che cazzo sono gli shiitake…	…シイタケって何だよ…	...씨발 대체 표고버섯이 뭐야…	……香菇他妈是什么鬼……	……香菇他媽的是什麼鬼東西……
hub1_ramen_1_25	Мы бы с радостью у вас остановились.	Wir würden sehr gerne bei Ihnen bleiben.	We'd gladly stay with you.	Nos encantaría quedarnos con usted.	Nous serions ravis de rester chez vous	Saremmo felici di fermarci da voi.	喜んでお世話になります。	기꺼이 여기서 묵겠습니다.	我们很乐意借宿。	我們很樂意住在你這裡。
hub1_ramen_1_26	Но у нас совсем немного денег.	Aber wir haben nur sehr wenig Geld.	But we don't have much money.	Pero tenemos muy poco dinero.	Mais nous avons très peu d’argent.	Ma abbiamo pochi soldi.	ですが、お金がほとんどなくて。	하지만 돈이 거의 없어요.	但我们钱不多。	但我們沒什麼錢。
hub1_ramen_1_27	А мне и не нужны деньги.	Ich brauche kein Geld.	I don't need money.	Y a mí no me hace falta el dinero.	Je n’ai pas besoin d’argent.	E a me non servono soldi.	金はいらねえよ。	난 돈 필요 없어.	我又不要钱。	我也不需要錢。
hub1_ramen_1_28	Я на вас новые рецепты раменов опробую! По рукам?	Ich werde neue Ramen-Rezepte an euch ausprobieren! Einverstanden?	I'll try out new ramen recipes on ya! Deal?	¡Voy a probar nuevas recetas de ramen con vosotros! ¿Trato hecho?	Je vais tester de nouvelles recettes de ramen sur vous ! Marché conclu ?	Proverò su di voi nuove ricette di ramen! Ci stai?	お前らで新しいラーメンのレシピ試させてくれ！いいな？	내가 너희한테 새로운 라멘 레시피를 시험해 볼 거야! 거래 성사?	我拿你们试试新拉面配方！成交？	我會在你們身上試驗新的拉麵食譜！成交嗎？
hub1_ramen_1_29	По рукам!	Einverstanden!	Deal!	¡Trato hecho!	Marché conclu !	Ci sto!	いいぜ！	거래 성사!	成交！	成交！
hub1_ramen_1_30	А нам бы еще какого-нибудь проводника для города…	Wir bräuchten noch einen Führer für die Stadt…	We could use a guide for the city…	Y nosotros necesitaríamos otro guía para la ciudad…	Il nous faudrait aussi un guide pour la ville…	Ma ci servirebbe una guida per la città…	街の案内人も何人か欲しいんだけど…	그리고 도시 안내를 해 줄 가이드도 좀 구해야겠는데…	我们还需要个城里带路的……	我們還需要一個城市嚮導……
hub1_ramen_1_31	Мы тут совсем не ориентируемся…	Wir finden uns hier überhaupt nicht zurecht…	We're completely lost here…	Aquí no nos orientamos para nada…	Nous ne nous y retrouvons pas du tout…	Non ci orientiamo per niente…	僕たち、ここら辺の地理が全然わからなくて…	우린 여길 전혀 모르니까…	我们在这儿完全摸不着方向……	我們在這裡完全迷失方向了……
hub1_ramen_1_32	Никто из наших отсюда носа не высунет в Столицу…	Niemand von uns wagt sich von hier in die Hauptstadt…	None of our folk'll stick their nose out into the capital…	Ninguno de los nuestros asoma la nariz por la Capital…	Aucun des nôtres ne mettra le nez dehors dans la Capitale…	Nessuno dei nostri metterebbe il naso fuori di qui per andare nella Capitale…	うちの者で首都に出るような奴はおらん…	우리 중 누구도 여기서 수도 쪽으로 코를 내밀지 않아…	我们这儿没人敢在帝都露脸……	我們的人沒有一個會踏進首都……
hub1_ramen_1_33	Хотя, загляните в чайный домик.	Schaut doch mal im Teehaus vorbei.	Though, check out the tea house.	Aunque, pasad por la casa de té.	Cependant, passez au salon de thé.	Comunque, fate un salto alla casa da tè.	まあ、茶屋を覗いてみな。	하지만, 찻집에 한번 가 보는 게 어때.	不过，你们可以去茶屋看看。	不過，你們可以去茶館看看。
hub1_ramen_1_34	Девочки госпожи Яэко частенько в городе бывают.	Die Mädchen von Lady Yaeko sind oft in der Stadt unterwegs.	Lady Yaeko's girls are often in the city.	Las chicas de la señora Yaeko suelen estar por la ciudad.	Les filles de Madame Yaeko sont souvent en ville.	Le ragazze della signora Yaeko sono spesso in città.	八重子様の娘たちはよく街に出てるからな。	야에코 부인의 여자애들이 자주 도시에 나가거든.	八重子女士手下的姑娘们常去城里走动。	八重子小姐的女孩們經常在城裡。
hub1_ramen_1_35	Как их найти?	Wie finden wir sie?	How do we find 'em?	¿Cómo las encontramos?	Comment les trouver ?	Come le troviamo?	どうやって見つける？	어디서 찾지?	怎么找她们？	怎麼找到她們？
hub1_ramen_1_36	Вот тут у нас главное место Рыбного тупика - моя раменная!	Hier ist der wichtigste Ort in der Fisch-Sackgasse – mein Ramen-Laden!	Right here's the main spot in Fish Alley - my ramen shop!	Aquí tenemos el lugar principal del Callejón del Pescado: ¡mi ramen!	Ici, c'est le cœur du Cul-de-sac des Poissons, mon Ramen-ya !	Qui abbiamo il posto principale del Vicolo dei Pesci: la mia ramen-ya!	ここが魚の袋小路のメインスポット、わしのラーメン屋じゃ！	여기 어항 골목의 중심지가 바로 내 라멘 가게야!	鱼肠巷最热闹的地方就是我的拉面摊！	這裡就是魚巷最重要的地點——我的拉麵店！
hub1_ramen_1_37	Но это вы и так знаете.	Aber das wisst ihr ja schon.	But you already know that.	Pero eso ya lo sabéis.	Mais ça, vous le savez déjà.	Ma questo lo sapete già.	まあ、それはお前らも知ってるだろうが。	하지만 그건 너희도 이미 알지.	不过这个你们已经知道了。	不過你們也知道。
hub1_ramen_1_38	Пойдете вот сюда - окажетесь на пристани.	Gehst du hier lang, kommst du zur Anlegestelle.	Go this way and you'll end up at the pier.	Si vais por aquí, llegaréis al muelle.	Si vous allez par là, vous arriverez au quai.	Andando di qua, arriverete al molo.	こっちへ行けば桟橋に出るぜ。	여기로 가면 부두에 도착해.	往这边走——就到码头了。	從這裡走——你就會到碼頭了。
hub1_ramen_1_39	Вот на этот корабль лучше не соваться.	Diesem Schiff solltest du besser fernbleiben.	Better not mess with that ship.	Es mejor que no os acerquéis a este barco.	Mieux vaut ne pas s’aventurer sur ce bateau	È meglio non salire su questa nave.	あの船には近づかない方がいい。	저 배에는 함부로 가지 않는 게 좋아.	最好别靠近那艘船。	這艘船最好別靠近。
hub1_ramen_1_40	Если конечно не хотите встретиться с морскими волками.	Es sei denn, du willst den Seewölfen begegnen.	Unless you wanna meet some sea dogs, that is.	A no ser que queráis encontraros con los lobos de mar, claro.	À moins que vous ne vouliez rencontrer les loups de mer	A meno che non vogliate incontrare i lupi di mare, ovviamente.	海の狼どもに会いたくなければな。	바다 늑대들을 만나고 싶지 않다면 말이지.	除非你想会会那些海盗。	除非你想見見那些海狼。
