action,beta_key,weblate_key,ru,translated_langs
rename,dialogue_character_Campaign_4_Righteous_Jim,dialog_character_Campaign_4_Righteous_Jim,Праведник Джим,
rename,dialogue_character_Campaign_4_Kiran,dialog_character_Campaign_4_Kiran,Киран Болтун,
rename,dialogue_character_Campaign_4_Gunnar,dialog_character_Campaign_4_Gunnar,Гуннар Костеглод,
rename,dialogue_text_campaign_0_0_region_1,dialog_text_campaign_0_0_region_1,"Давай сразу к делу. Мы в этих морях не одни. Местные воды кишат Громовыми Пиратами, они считают эти острова своей собственностью.",
rename,dialogue_text_campaign_0_0_region_2,dialog_text_campaign_0_0_region_2,"Они тут давно, у них свои законы и секреты. Рано или поздно мы точно столкнемся с ними.",
rename,dialogue_text_campaign_0_0_region_3,dialog_text_campaign_0_0_region_3,"Если мы и не нагоним Мунблада сами, он не сможет проскользнуть мимо них незамеченным. И я узнаю, куда он направился.",
rename,dialogue_text_campaign_0_0_6_miniboss_1,dialog_text_campaign_0_0_6_miniboss_1,"Милая Лиззи! Смотрю, ты никак не уймешься?",
rename,dialogue_text_campaign_0_0_6_miniboss_2,dialog_text_campaign_0_0_6_miniboss_2,Верни мой корабль! И мое золото!,
rename,dialogue_text_campaign_0_0_6_miniboss_3,dialog_text_campaign_0_0_6_miniboss_3,"Я бы с удовольствием поспорил с тобой насчет сложившихся обстоятельств, но у меня совершенно нет на это времени.",
rename,dialogue_text_campaign_0_0_6_miniboss_4,dialog_text_campaign_0_0_6_miniboss_4,"Морган, объясни нашему бывшему капитану, что не нужно докучать взрослым занятым людям.",
rename,dialogue_text_campaign_0_0_6_miniboss_win_1,dialog_text_campaign_0_0_6_miniboss_win_1,Как он посмел бросить против меня это жалкое подобие капитана!,
rename,dialogue_text_campaign_0_0_6_miniboss_win_2,dialog_text_campaign_0_0_6_miniboss_win_2,Поднять паруса! В следующий раз он от меня не уйдет!,
rename,dialogue_text_campaign_0_0_14_miniboss_1,dialog_text_campaign_0_0_14_miniboss_1,"Эй там, на шлюпе! Вы чего тут вынюхиваете?",
rename,dialogue_text_campaign_0_0_14_miniboss_2,dialog_text_campaign_0_0_14_miniboss_2,"Черт, вот и Громовые Пираты. Постой, это же Кидд! Эй, Кидд, это я!",
rename,dialogue_text_campaign_0_0_14_miniboss_3,dialog_text_campaign_0_0_14_miniboss_3,Рид! Я так и знал! Ты ответишь нам за Риккерта!,
rename,dialogue_text_campaign_0_0_14_miniboss_win_1,dialog_text_campaign_0_0_14_miniboss_win_1,"Тебе ром в голову ударил, Кидд? Что происходит?",
rename,dialogue_text_campaign_0_0_14_miniboss_win_2,dialog_text_campaign_0_0_14_miniboss_win_2,"Мои парни видели, как твой корабль зашел в Тенистый Промысел к Корабельщику Риккерту. Не знаю, что там было, но Риккерт совсем обезумел, и теперь носится по архипелагу, нападая на всех, кто на него косо посмотрит.",
rename,dialogue_text_campaign_0_0_14_miniboss_win_3,dialog_text_campaign_0_0_14_miniboss_win_3,Если ты не заметил - у меня нет моего корабля! Этот подонок Мунблад обманул меня и увел галеон!,
rename,dialogue_text_campaign_0_0_14_miniboss_win_4,dialog_text_campaign_0_0_14_miniboss_win_4,"Старик Мунблад... Наверное, я мог бы сам догадаться. Ты прости меня, Рид. В последнее время здесь творятся совсем странные вещи. И держись подальше от Риккерта. Он и раньше был странным, но сейчас…",
rename,dialogue_text_campaign_0_0_22_miniboss_1,dialog_text_campaign_0_0_22_miniboss_1,Так ты и есть Корабельщик Риккерт?,
rename,dialogue_text_campaign_0_0_22_miniboss_2,dialog_text_campaign_0_0_22_miniboss_2,"Нам не нравится это прозвище, принцесса. “Корабельщик, почини мою посудину, Корабельщик, прекрати так смотреть”. Плохое имя, принцесса",
rename,dialogue_text_campaign_0_0_22_miniboss_3,dialog_text_campaign_0_0_22_miniboss_3,"Я буду звать тебя как ты захочешь, если скажешь, куда отправился Мунблад. И я не принцесса.",
rename,dialogue_text_campaign_0_0_22_miniboss_4,dialog_text_campaign_0_0_22_miniboss_4,"Что? Принцесса обманывает нас! Уж я-то знаю! Ребята, отучите ее врать, или я отправлю вас на корм своему другу!",
rename,dialogue_text_campaign_0_0_22_miniboss_win_1,dialog_text_campaign_0_0_22_miniboss_win_1,"Да уж, Кидд предупреждал, что этот Риккерт - странный тип. Но я не думала, что настолько. Нужно найти его, пока он не спятил окончательно.",
rename,dialogue_text_campaign_0_0_boss_1,dialog_text_campaign_0_0_boss_1,"Дальше некуда бежать, Корабельщик. И нет твоих друзей, чтобы спрятаться за их спинами.",
rename,dialogue_text_campaign_0_0_boss_2,dialog_text_campaign_0_0_boss_2,"О, злая принцесса не знает… У Риккерта теперь только один друг. И он тоже не любит злых людей!",
rename,dialogue_text_campaign_0_0_boss_win_1,dialog_text_campaign_0_0_boss_win_1,Что это за тварь? Как ты ее приручил?,
rename,dialogue_text_campaign_0_0_boss_win_2,dialog_text_campaign_0_0_boss_win_2,"Кровавый Рог! Добрый капитан на корабле с красными парусами подарил его, и теперь у Риккерта есть друг. Но мы не скажем этого злой принцессе! Нет, нет!",
rename,dialogue_text_campaign_0_0_boss_win_3,dialog_text_campaign_0_0_boss_win_3,Красные паруса? Это точно Мунблад! Куда он отправился?,
rename,dialogue_text_campaign_0_0_boss_win_4,dialog_text_campaign_0_0_boss_win_4,"Глупая принцесса не знает, что отсюда только один путь: на север, в <color=#1DEEFC>Край Ледяных Ветров.</color> Добрый капитан хочет помолиться богам у Алтаря. Глупая принцесса не знает, но мы ей ничего не скажем!",
rename,dialogue_text_campaign_0_0_boss_afterReward,dialog_text_campaign_0_0_boss_afterReward,"Мы направляемся в Край ледяных ветров! Опасное место, пригодится корабль получше. Прикупим <color=#1DEEFC>новенький бриг.</color> И пинту рома! Я угощаю.",
rename,dialogue_text_campaign_1_0_region_1,dialog_text_campaign_1_0_region_1,"Я слышала про этот Алтарь. Местная достопримечательность, можно сказать. Направление мне понятно.",
rename,dialogue_text_campaign_1_0_region_2,dialog_text_campaign_1_0_region_2,"Однако путь неблизкий. И едва ли он окажется спокойным. Всем приготовиться, мы выдвигаемся!",
rename,dialogue_text_campaign_1_0_6_miniboss_1,dialog_text_campaign_1_0_6_miniboss_1,"Давно не виделись, капитан Рид. Думаю, ты здесь за Мунбладом? Что ж, тебе придется встать в очередь.",
rename,dialogue_text_campaign_1_0_6_miniboss_2,dialog_text_campaign_1_0_6_miniboss_2,Капитан Террор! Он и тебе успел насолить? Почему бы нам не объединить усилия?,
rename,dialogue_text_campaign_1_0_6_miniboss_3,dialog_text_campaign_1_0_6_miniboss_3,"Я старомоден в вопросах мести. Ты хочешь просто забрать его корабль, а я хочу утопить его вместе с Мунбладом.",
rename,dialogue_text_campaign_1_0_6_miniboss_4,dialog_text_campaign_1_0_6_miniboss_4,"Ну уж нет! Это мой корабль, и жизнь Мунблада - тоже!",
rename,dialogue_text_campaign_1_0_6_miniboss_5,dialog_text_campaign_1_0_6_miniboss_5,"Я и не надеялся на твое благоразумие. Господа, развлеките капитана Рид. А я пока улажу с Мунбладом кое-какие… разногласия.",
rename,dialogue_text_campaign_1_0_6_miniboss_win_1,dialog_text_campaign_1_0_6_miniboss_win_1,Черт! Нельзя позволить Террору потопить мой корабль!,
rename,dialogue_text_campaign_1_0_14_miniboss_1,dialog_text_campaign_1_0_14_miniboss_1,"Кажется, я знаю этот флаг... Это что, Кривой Джек?",
rename,dialogue_text_campaign_1_0_14_miniboss_2,dialog_text_campaign_1_0_14_miniboss_2,"Ха-ха! Элизабет Рид, мы снова встретились! Пора платить по счетам!",
rename,dialogue_text_campaign_1_0_14_miniboss_3,dialog_text_campaign_1_0_14_miniboss_3,"Джек, тебе не хватило последнего поражения?",
rename,dialogue_text_campaign_1_0_14_miniboss_4,dialog_text_campaign_1_0_14_miniboss_4,"Ты меня унизила, Рид! И ты за это заплатишь!",
rename,dialogue_text_campaign_1_0_14_miniboss_win_1,dialog_text_campaign_1_0_14_miniboss_win_1,"Джек, никак ты не научишься.",
rename,dialogue_text_campaign_1_0_14_miniboss_win_2,dialog_text_campaign_1_0_14_miniboss_win_2,"Это еще не конец, Рид!",
rename,dialogue_text_campaign_1_0_14_miniboss_win_3,dialog_text_campaign_1_0_14_miniboss_win_3,Каждый раз одно и то же. Найди уже себе другого заклятого врага,
rename,dialogue_text_campaign_1_0_14_miniboss_win_4,dialog_text_campaign_1_0_14_miniboss_win_4,"Ты - единственный враг, который мне нужен, Рид.",
rename,dialogue_text_campaign_1_0_14_miniboss_win_5,dialog_text_campaign_1_0_14_miniboss_win_5,"Это очень трогательно, Джек. Но я все равно тебя покину.",
rename,dialogue_text_campaign_1_0_22_miniboss_1,dialog_text_campaign_1_0_22_miniboss_1,Впереди ветхий корабль... Неужели это старый Барбосса?,
rename,dialogue_text_campaign_1_0_22_miniboss_2,dialog_text_campaign_1_0_22_miniboss_2,"Здравствуй, юная Элизабет. Не думал, что мы встретимся вот так.",
rename,dialogue_text_campaign_1_0_22_miniboss_3,dialog_text_campaign_1_0_22_miniboss_3,Барбосса! Ты ведь давно ушел из пиратов…,
rename,dialogue_text_campaign_1_0_22_miniboss_4,dialog_text_campaign_1_0_22_miniboss_4,"Все так. Но Мунблад напомнил мне о старом долге. Не подумай, что я рад этому. Команда, заряжай!",
rename,dialogue_text_campaign_1_0_22_miniboss_win_1,dialog_text_campaign_1_0_22_miniboss_win_1,Не так все должно было закончиться. Ты не заслужил этого.,
rename,dialogue_text_campaign_1_0_22_miniboss_win_2,dialog_text_campaign_1_0_22_miniboss_win_2,"Может быть, но такие, как мы, редко заканчивают свою жизнь иначе. Не держи зла, юная Элизабет.",
rename,dialogue_text_campaign_1_0_22_miniboss_win_3,dialog_text_campaign_1_0_22_miniboss_win_3,"Прощай, старый друг.",
rename,dialogue_text_campaign_1_0_boss_1,dialog_text_campaign_1_0_boss_1,"Кажется, это тот самый Алтарь… Моего корабля не видно. Надеюсь, Террор не успел отправить его на дно.",
rename,dialogue_text_campaign_1_0_boss_2,dialog_text_campaign_1_0_boss_2,"Капитан Рид, ты весьма упорна. К сожалению, ты опоздала. Алтарь оказался бесполезен для Мунблада. Он ушел.",
rename,dialogue_text_campaign_1_0_boss_3,dialog_text_campaign_1_0_boss_3,"Просто ушел? Ты что, снюхался с ним? А как же твоя месть?",
rename,dialogue_text_campaign_1_0_boss_4,dialog_text_campaign_1_0_boss_4,"Иногда случаются обстоятельства непреодолимой силы, капитан Рид. Твой бывший квартирмейстер - как раз такая непреодолимая сила. Чего не скажешь о тебе…",
rename,dialogue_text_campaign_1_0_boss_win_1,dialog_text_campaign_1_0_boss_win_1,"Чем Мунблад тебя подкупил, Террор?",
rename,dialogue_text_campaign_1_0_boss_win_2,dialog_text_campaign_1_0_boss_win_2,"Он не заплатил мне ни унции золота. И ушел на восток. Видела бы ты, что он сделал с твоим галеоном…",
rename,dialogue_text_campaign_1_0_boss_win_3,dialog_text_campaign_1_0_boss_win_3,Моим галеоном?,
rename,dialogue_text_campaign_1_0_boss_win_4,dialog_text_campaign_1_0_boss_win_4,Он проклял корабль. И теперь изумрудные паруса Проклятого Галеона светятся в ночной тьме…,
rename,dialogue_text_campaign_1_0_boss_win_5,dialog_text_campaign_1_0_boss_win_5,Что он сделал?!,
rename,dialogue_text_campaign_1_0_boss_win_6,dialog_text_campaign_1_0_boss_win_6,"Кому ты молишься, капитан Рид, когда тебя настигает шторм? Нерею? Может быть, Ньёрду или Калипсо? Боги Мунблада гораздо сильнее тех, кому поклоняются остальные пираты. Они отвечают ему.",
rename,dialogue_text_campaign_1_0_boss_win_7,dialog_text_campaign_1_0_boss_win_7,"Мой корабль… Мунблад ответит за все, что натворил!",
rename,dialogue_text_campaign_1_0_boss_win_8,dialog_text_campaign_1_0_boss_win_8,"Ты не слушаешь. Я видел это своими глазами, Рид. Надеюсь, что больше никогда не встречусь с ним. И на твоем месте я бы тоже надеялся.",
rename,dialogue_text_campaign_2_0_region_1,dialog_text_campaign_2_0_region_1,"Мы приближаемся к Голодным скалам. У этого места дурная слава, многие корабли и команды пропали тут без вести.",
rename,dialogue_text_campaign_2_0_region_2,dialog_text_campaign_2_0_region_2,"В этих краях должна обитать Шаманка. Знаю, знаю, магия и все такое - не в моем вкусе.",
rename,dialogue_text_campaign_2_0_region_3,dialog_text_campaign_2_0_region_3,"Но такие люди обычно знают больше, чем кажется. Уверена, если Мунблад отправился сюда, то точно для встречи с ней.",
rename,dialogue_text_campaign_2_0_6_miniboss_1,dialog_text_campaign_2_0_6_miniboss_1,"Милая Лиззи, не ожидал, что ты зайдешь так далеко. Что ж, тебе придется познакомиться с моими новыми друзьями.",
rename,dialogue_text_campaign_2_0_6_miniboss_2,dialog_text_campaign_2_0_6_miniboss_2,Людоеды? Как ты смог договориться с ними?,
rename,dialogue_text_campaign_2_0_6_miniboss_3,dialog_text_campaign_2_0_6_miniboss_3,"О, это совсем не сложно, если можешь предложить им свежее мясо. Господа, ваш обед прибыл!",
rename,dialogue_text_campaign_2_0_6_miniboss_win,dialog_text_campaign_2_0_6_miniboss_win,"Не думала, что Мунблад падет настолько низко, чтобы водить дружбу с людоедами. Нужно быть осторожнее, кто знает, кого еще он натравит на нас.",
rename,dialogue_text_campaign_2_0_14_miniboss_1,dialog_text_campaign_2_0_14_miniboss_1,"Корабль Королевской армады, и здесь... Это неприятности. Лучше напасть первыми, они нас всё равно не пропустят.",
rename,dialogue_text_campaign_2_0_14_miniboss_2,dialog_text_campaign_2_0_14_miniboss_2,"Неопознанный корабль! Сдавайтесь, и мы сохраним вам жизнь!",
rename,dialogue_text_campaign_2_0_14_miniboss_win,dialog_text_campaign_2_0_14_miniboss_win,Кто только не забредает в эти места. Что тут забыла Королевская Армада?,
rename,dialogue_text_campaign_2_0_22_miniboss_1,dialog_text_campaign_2_0_22_miniboss_1,Свежее мясо! Прямо к нам на борт! Готовьтесь стать обедом!,
rename,dialogue_text_campaign_2_0_22_miniboss_2,dialog_text_campaign_2_0_22_miniboss_2,Снова друзья Мунблада. К оружию!,
rename,dialogue_text_campaign_2_0_boss_1,dialog_text_campaign_2_0_boss_1,"Чёрт, это засада! Судя по всему, Мунблад научил людоедов воскрешать мертвецов… Или то, что от них осталось.",
rename,dialogue_text_campaign_2_0_boss_2,dialog_text_campaign_2_0_boss_2,"Друзья, вы как раз к ужину! Как и обещал нам наш добрый друг! Добро пожаловать к столу!",
rename,dialogue_text_campaign_2_0_boss_3,dialog_text_campaign_2_0_boss_3,Вы тут всегда думаете только о еде?,
rename,dialogue_text_campaign_2_0_boss_win_1,dialog_text_campaign_2_0_boss_win_1,"Он обманул нас! Он обещал, что с Лунным Камнем мы будем непобедимы!",
rename,dialogue_text_campaign_2_0_boss_win_2,dialog_text_campaign_2_0_boss_win_2,С Лунным Камнем? Похоже на еще один дар Мунблада. Это с его помощью они поднимали мертвых!,
rename,dialogue_text_campaign_2_0_boss_win_3,dialog_text_campaign_2_0_boss_win_3,"Даже знать не хочу, как его использовали, чтобы создавать этих скелетов... Но, может быть, он еще пригодится.",
rename,dialogue_text_campaign_2_1_region_1,dialog_text_campaign_2_1_region_1,"Ты - шаманка Малика, о которой все говорят в этих водах? У меня есть вопросы.",
rename,dialogue_text_campaign_2_1_region_2,dialog_text_campaign_2_1_region_2,"Я знаю, зачем ты явилась, дочь ветра и соли. Но мои знания не даются даром.",
rename,dialogue_text_campaign_2_1_region_3,dialog_text_campaign_2_1_region_3,"Честные сделки - это про меня. У нас есть интересный камень, возможно он будет хорошей оплатой. Что Мунбладу нужно было от тебя? И что это за золото, падающее с неба?",
rename,dialogue_text_campaign_2_1_region_4,dialog_text_campaign_2_1_region_4,"Это могущественная вещь, дитя. Я приму твой дар. Но дар всего один. А вопросов целых два. Мунбладу нужно было то же, что и тебе. Что же касается второго вопроса…",
rename,dialogue_text_campaign_2_1_region_5,dialog_text_campaign_2_1_region_5,"В моих водах пропал корабль принца, наследника королевского трона. Все считают его погибшим, но я чувствую, что он жив. Я провожу тебя к нему, но спасти его должна ты сама. Верни его мне, и я открою тебе все, что знаю.",
rename,dialogue_text_campaign_2_1_region_6,dialog_text_campaign_2_1_region_6,"Не слишком ли большая цена за один вопрос? И не слишком ли простой ответ за такой камень... Ладно, мы в деле. Говорил мне отец не связываться с колдунами…",
rename,dialogue_text_campaign_2_1_6_miniboss_1,dialog_text_campaign_2_1_6_miniboss_1,Эти корабли... десятками они попадают на лавовые рифы в здешних водах. Вся история их походов истлеет здесь.,
rename,dialogue_text_campaign_2_1_6_miniboss_2,dialog_text_campaign_2_1_6_miniboss_2,"Ну, вон тот корабль, кажется, не собирается тонуть здесь. Идет прямо на нас.",
rename,dialogue_text_campaign_2_1_6_miniboss_3,dialog_text_campaign_2_1_6_miniboss_3,"Армада Короны. Осторожнее, дитя. Их помыслы касательно принца не так благородны, как ты бы могла подумать.",
rename,dialogue_text_campaign_2_1_6_miniboss_win_1,dialog_text_campaign_2_1_6_miniboss_win_1,"Не терзайся на их счет, дитя. Ты спасешь принца и от похитителей, и от коварных слуг.",
rename,dialogue_text_campaign_2_1_14_miniboss_1,dialog_text_campaign_2_1_14_miniboss_1,Экипаж! К боевым постам! Кто-то хочет поиграть в морской бой!,
rename,dialogue_text_campaign_2_1_14_miniboss_2,dialog_text_campaign_2_1_14_miniboss_2,"Верните мне сына, проклятые людоеды!",
rename,dialogue_text_campaign_2_1_14_miniboss_win_1,dialog_text_campaign_2_1_14_miniboss_win_1,"Кто-нибудь слышал, что он кричал перед атакой? Кажется, нас приняли за людоедов…",
rename,dialogue_text_campaign_2_1_14_miniboss_win_2,dialog_text_campaign_2_1_14_miniboss_win_2,Где мой сын?! Что вы с ним сделали?!,
rename,dialogue_text_campaign_2_1_14_miniboss_win_3,dialog_text_campaign_2_1_14_miniboss_win_3,"Мы не твои враги, скорбное сердце. Цель нашего пути в том же, в чем и твоя.",
rename,dialogue_text_campaign_2_1_14_miniboss_win_4,dialog_text_campaign_2_1_14_miniboss_win_4,"Малика! Прости нас, мы... мы искали людоедов. Они напали на нашу деревню и выкрали наших близких. Нам показалось, будто вы - одни из них...",
rename,dialogue_text_campaign_2_1_14_miniboss_win_5,dialog_text_campaign_2_1_14_miniboss_win_5,"Мы не держим зла, скорбное сердце. Успокой свою печаль, я ощущаю тепло жизни твоего сына. Пройдет две луны, и вы встретитесь вновь.",
rename,dialogue_text_campaign_2_1_22_miniboss,dialog_text_campaign_2_1_22_miniboss,"Мы приближаемся к нашей цели, дочь ветра и соли. Эти падшие души - последняя преграда на пути.",
rename,dialogue_text_campaign_2_1_boss_1,dialog_text_campaign_2_1_boss_1,"Малика! У нас был уговор, а теперь ты пришла за своим принцем? Не думай, что я пощажу тебя!",
rename,dialogue_text_campaign_2_1_boss_2,dialog_text_campaign_2_1_boss_2,"Эй, здоровяк! Отпусти заложников, и мы разойдемся мирно!",
rename,dialogue_text_campaign_2_1_boss_3,dialog_text_campaign_2_1_boss_3,"О, какое благородство! Но, знаешь, королевские экипажи и жители деревень еще долго будут кормить нас, если оставить заложников себе.",
rename,dialogue_text_campaign_2_1_boss_win_1,dialog_text_campaign_2_1_boss_win_1,"Открывайте трюмы, пора освободить этих людей!",
rename,dialogue_text_campaign_2_1_boss_win_2,dialog_text_campaign_2_1_boss_win_2,"Вы... вы нас спасли. Вы не представляете, что это значит для нас...",
rename,dialogue_text_campaign_2_1_boss_win_3,dialog_text_campaign_2_1_boss_win_3,"Просто делаю свою работу. Но подожди, ты... ты не из деревни, верно?",
rename,dialogue_text_campaign_2_1_boss_win_4,dialog_text_campaign_2_1_boss_win_4,"Я... да, я Альбрехт. Принц и наследник Короны.",
rename,dialogue_text_campaign_2_1_boss_win_5,dialog_text_campaign_2_1_boss_win_5,"Прекрасно, дитя. Сопроводи нас к берегу, и я выполню свое обещание.",
rename,dialogue_text_campaign_2_1_boss_afterReward_1,dialog_text_campaign_2_1_boss_afterReward_1,О чем говорил тот людоед? Что у него за уговор с тобой?,
rename,dialogue_text_campaign_2_1_boss_afterReward_2,dialog_text_campaign_2_1_boss_afterReward_2,"Это будет уже третий вопрос, дитя. Но ты сделала так много… я отвечу и на него. Путь вкусивших плоть - это путь обмана. Не стоит доверять их словам.",
rename,dialogue_text_campaign_2_1_boss_afterReward_3,dialog_text_campaign_2_1_boss_afterReward_3,"Что же до золота... Я скажу тебе то же, что и Мунбладу. Золото - дитя земли и небес. Оно не приковано к алтарю, оно не служит новым богам.",
rename,dialogue_text_campaign_2_1_boss_afterReward_4,dialog_text_campaign_2_1_boss_afterReward_4,"Но боги морских глубин… забытые боги… это другое дело. Рыбаки, странники вод, знакомы с ними. Они едят с их рук. Ищи рыбаков Данспорта, и они расскажут о золоте.",
rename,dialogue_text_campaign_3_0_6_miniboss_1,dialog_text_campaign_3_0_6_miniboss_1,Знакомый флаг… В прошлый раз он не принес мне ничего хорошего.,
rename,dialogue_text_campaign_3_0_6_miniboss_2,dialog_text_campaign_3_0_6_miniboss_2,Элизабет Рид. Вы кое-что задолжали нашему клану.,
rename,dialogue_text_campaign_3_0_6_miniboss_3,dialog_text_campaign_3_0_6_miniboss_3,"Вы опоздали. Ищите Мунблада, моего бывшего квартирмейстера. Все ваше золото у него.",
rename,dialogue_text_campaign_3_0_6_miniboss_4,dialog_text_campaign_3_0_6_miniboss_4,"Это довольно жалкая попытка обмана, мисс Рид. Я надеялся, вы будете выше этого.",
rename,dialogue_text_campaign_3_0_6_miniboss_win,dialog_text_campaign_3_0_6_miniboss_win,"Это не конец, мисс Рид. Придут другие. Гарпии всегда получают свое.",
rename,dialogue_text_campaign_3_0_14_miniboss_1,dialog_text_campaign_3_0_14_miniboss_1,"Смотри, это корабль рыбаков. Если шаманка не врет, они что-то знают о золоте…",
rename,dialogue_text_campaign_3_0_14_miniboss_2,dialog_text_campaign_3_0_14_miniboss_2,Мы не любим незваных гостей. Убирайтесь из наших вод!,
rename,dialogue_text_campaign_3_0_14_miniboss_3,dialog_text_campaign_3_0_14_miniboss_3,"Мне просто нужно кое-что узнать… Вы не слыхали о камнях, падающих с неба?",
rename,dialogue_text_campaign_3_0_14_miniboss_4,dialog_text_campaign_3_0_14_miniboss_4,"Мне плевать, что вам нужно. Эй, парни! Прогоните этот пиратский сброд подальше от Данспорта!",
rename,dialogue_text_campaign_3_0_14_miniboss_win,dialog_text_campaign_3_0_14_miniboss_win,"Местные рыбаки не очень гостеприимны. Но в следующий раз этот угрюмый тип ответит на все мои вопросы, хочет он того или нет.",
rename,dialogue_text_campaign_3_0_22_miniboss_1,dialog_text_campaign_3_0_22_miniboss_1,"Эй, на корабле! Мы ищем вашего главаря. У нас есть вопросы!",
rename,dialogue_text_campaign_3_0_22_miniboss_2,dialog_text_campaign_3_0_22_miniboss_2,У нас есть только один ответ: уходите. Мы вас не звали. Вам здесь не рады.,
rename,dialogue_text_campaign_3_0_22_miniboss_3,dialog_text_campaign_3_0_22_miniboss_3,Меня это начинает утомлять.,
rename,dialogue_text_campaign_3_0_22_miniboss_win_1,dialog_text_campaign_3_0_22_miniboss_win_1,"Нам не нужны проблемы, только ответы на наши вопросы. Где найти вашего главаря?",
