kind,lang,beta_key,weblate_key,beta_value,weblate_value,weblate_last_updated,take,rule
common,ru,ability_description_ap_fire_trail_shot,ability_description_ap_fire_trail_shot,"После трёх успешных атак выпускает пламя, поджигающее все цели на линии атаки на 5 сек.
Если огонь не потух в течение 2х секунд, он начинает распространяться на соседние клетки.
Урон команде: {0}/с
Урон кораблю: {1}/с","После трёх успешных атак выпускает пламя, поджигающее все цели на линии атаки на 5 сек.
Если огонь не потух в течени 2х секунд, он начинает распространяться на соседние клетки.
Урон команде: {0}/с
Урон кораблю: {1}/с",2026-08-16T05:35,beta,ru-team-edit
common,en,description_resourse_tips_not_enough_captains_medals,description_resourse_tips_not_enough_captains_medals,Not enough <b><color=#FF4E3B>rubies</color></b>. You can find them in the story campaign.,Not enough <b><color=#FF4E3B>rubies</color></b>. They can be found in the story campaign.,2026-09-22T09:01,beta,review
common,ru,daily39_description,daily39_description,Используй любой амулет в бою,Use any amulet in a battle,2026-09-15T09:39,beta,ru-english-in-weblate
common,nl,daily39_description,daily39_description,Gebruik een amulet in een gevecht,Gebruik een willekeurig amulet in een gevecht,2026-09-22T09:01,beta,follows-ru
common,nl,6_use_amulets,6_use_amulets,Gebruik een amulet in een gevecht,Gebruik elke amulet in een gevecht,2026-08-16T05:31,beta,review
common,ru,cbp_use_amulet_battle,cbp_use_amulet_battle,Используй любые амулеты в сражении,Use any amulets in battle,2026-09-15T09:39,beta,ru-english-in-weblate
common,en,cbp_use_amulet_battle,cbp_use_amulet_battle,Use any amulets in battle,Use any amulet in battle,2026-09-22T09:01,beta,follows-ru
common,ru,cbp_use_amulet_battle2,cbp_use_amulet_battle2,Используй любые амулеты в сражении (Этап 2),Use any amulets in battle (Stage 2),2026-09-15T09:39,beta,ru-english-in-weblate
common,ru,bp_captain_end_text,bp_captain_end_text,Событие открытия капитана Ленор де Гласваль завершено. Теперь её карточки можно найти в поиске капитанов.,Событие открытия капитана Ленор де Гласваль завершен. Теперь её карточки можно найти в поиске капитанов.,2026-08-16T05:36,beta,ru-team-edit
common,fr,territorial_wars_building_details_dialog_per_hour,territorial_wars_building_details_dialog_per_hour,,+{0}/h,2026-09-19T17:39,weblate,filled-in-weblate
common,it,territorial_wars_building_details_dialog_per_hour,territorial_wars_building_details_dialog_per_hour,,+{0}/h,2026-09-24T07:53,weblate,filled-in-weblate
common,en,territorial_wars_building_details_dialog_per_sec,territorial_wars_building_details_dialog_per_sec,+{0}/sec,+{0}/s,2026-09-24T07:52,weblate,newer-in-weblate
common,pl,territorial_wars_building_details_dialog_per_sec,territorial_wars_building_details_dialog_per_sec,+ {0}/s,+{0}/s,2026-09-24T07:53,weblate,newer-in-weblate
common,it,territorial_wars_building_details_dialog_per_sec,territorial_wars_building_details_dialog_per_sec,,+{0}/s,2026-09-24T07:53,weblate,filled-in-weblate
common,kr,territorial_wars_building_details_dialog_per_sec,territorial_wars_building_details_dialog_per_sec,,+{0}/초,2026-09-24T07:53,weblate,filled-in-weblate
common,nl,territorial_wars_building_details_dialog_per_sec,territorial_wars_building_details_dialog_per_sec,,+{0}/sec,2026-09-24T07:53,weblate,filled-in-weblate
common,ru,territorial_wars_building_details_dialog_recharging_wait,territorial_wars_building_details_dialog_recharging_wait,Перезарядка...,Перезарядка…,,weblate,ru-ellipsis
common,th,territorial_wars_debriefing_window_place,territorial_wars_debriefing_window_place,,อันดับที่ {0},2026-09-24T07:53,weblate,filled-in-weblate
common,cn,territorial_wars_debriefing_window_place,territorial_wars_debriefing_window_place,,{0} 名,2026-09-24T07:52,weblate,filled-in-weblate
common,vi,territorial_wars_debriefing_window_place,territorial_wars_debriefing_window_place,,HẠNG {0},2026-09-24T07:53,weblate,filled-in-weblate
common,th,territorial_wars_debriefing_team_result_place,territorial_wars_debriefing_team_result_place,,อันดับที่ {0},2026-09-24T07:53,weblate,filled-in-weblate
common,kr,territorial_wars_debriefing_team_result_place,territorial_wars_debriefing_team_result_place,,{0}위,2026-09-24T07:53,weblate,filled-in-weblate
common,vi,territorial_wars_debriefing_team_result_place,territorial_wars_debriefing_team_result_place,,Hạng {0},2026-09-24T07:53,weblate,filled-in-weblate
common,th,territorial_wars_info_gold_mine_desc,territorial_wars_info_gold_mine_desc,มอบคะแนนอิทธิพลเพิ่มขึ้นอย่างต่อเนื่องและโบนัสเมื่อจบเกม ได้รับการคุ้มกันโดยยาม.,มอบคะแนนอิทธิพลเพิ่มขึ้นอย่างต่อเนื่องและโบนัสเมื่อจบเกม ได้รับการคุ้มกันโดยยาม,,weblate,cleanup
common,jp,territorial_wars_info_gold_mine_desc,territorial_wars_info_gold_mine_desc,影響力ポイントの恒久的な増加とゲーム終了時のボーナスを提供します。警備に守られています。,影響力ポイントが継続的に増加し、ゲーム終了時にボーナスを獲得。警備に守られている。,2026-09-22T09:01,beta,review
common,th,territorial_wars_info_rules_desc,territorial_wars_info_rules_desc,ผู้เล่นสี่คนต่อสู้กันแบบออนไลน์ ผู้ที่ได้รับคะแนนอิทธิพลมากที่สุดจะเป็นผู้ชนะ คะแนนจะได้รับอย่างต่อเนื่องจากการยึดครองดินแดนระหว่างการเล่น และได้รับเป็นโบนัสครั้งเดียวเมื่อสิ้นสุดการต่อสู้.,ผู้เล่นสี่คนต่อสู้กันแบบออนไลน์ ผู้ที่ได้รับคะแนนอิทธิพลมากที่สุดจะเป็นผู้ชนะ คะแนนจะได้รับอย่างต่อเนื่องจากการยึดครองดินแดนระหว่างการเล่น และได้รับเป็นโบนัสครั้งเดียวเมื่อสิ้นสุดการต่อสู้,,weblate,cleanup
common,ru,territorial_wars_info_fuel_desc,territorial_wars_info_fuel_desc,"Чтобы действовать во время битвы требуются припасы: перемещения, найм и воскрешение юнитов. Припасы производятся Столицей, Маяками, городами, а также могут быть найдены на островах.","Чтобы действовать во время битвы требуются припасы: перемещения, найм и воскрешение юнитов. Припасы производятся Столицей, Маяками, городами, а так же могут быть найдены на островах.",2026-09-23T07:55,beta,ru-team-edit
common,ru,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,"Захватывайте их, чтобы припасы восстанавливались быстрее, и можно было ходить чаще.","Захватывайте их, чтобы припасы восстанавливались быстрее, и можно было ходить чаще",,beta,ru-team-edit
common,en,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,Capture them to restore supplies faster and move more often.,Capture them to restore supplies faster and make moves more often,2026-09-22T09:01,beta,follows-ru
common,es,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,Captúralos para que los suministros se repongan más rápido y puedas moverte con más frecuencia.,Captúralos para que los suministros se repongan más rápido y puedas zarpar con más frecuencia,2026-09-22T09:01,beta,follows-ru
common,fr,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,Capturez-les pour régénérer les provisions plus vite et vous déplacer plus souvent.,Capture-les pour que les provisions se régénèrent plus vite et pouvoir attaquer plus souvent,2026-09-22T09:01,beta,follows-ru
common,pt,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,Capture-os para que os suprimentos se recuperem mais rápido e você possa agir com mais frequência.,Capture-os para que os suprimentos se regenerem mais rápido e você possa navegar com mais frequência,2026-09-22T09:01,beta,follows-ru
common,pl,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,"Przejmuj je, aby zapasy odnawiały się szybciej i można było częściej wykonywać ruchy.","Zdobywaj je, aby zapasy odnawiały się szybciej i można było wyruszać częściej",2026-09-22T09:01,beta,follows-ru
common,de,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,"Erobere sie, damit sich Vorräte schneller auffüllen und du öfter ziehen kannst.","Erobere sie, damit sich Vorräte schneller regenerieren und du öfter auslaufen kannst",2026-09-22T09:01,beta,follows-ru
common,it,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,Conquistali per ripristinare i rifornimenti più velocemente e muoverti più spesso.,Conquistali per ripristinare i rifornimenti più in fretta e poter salpare più spesso,2026-09-22T09:01,beta,follows-ru
common,th,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,ยึดครองพวกมันเพื่อให้เสบียงฟื้นฟูเร็วขึ้นและเคลื่อนที่ได้บ่อยขึ้น,ยึดครองพวกมันเพื่อให้เสบียงฟื้นฟูเร็วขึ้น และออกเดินเรือได้บ่อยขึ้น,2026-09-22T09:01,beta,follows-ru
common,id,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,Kuasai mereka agar persediaan pulih lebih cepat dan kamu bisa bergerak lebih sering.,Rebut mereka agar perbekalan pulih lebih cepat dan bisa berlayar lebih sering,2026-09-22T09:01,beta,follows-ru
common,cn,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,占领它们可加快补给恢复速度，并增加移动次数。,占领它们，让补给恢复更快，航行更频繁,2026-09-22T09:01,beta,follows-ru
common,kr,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,점령하여 보급품이 더 빨리 회복되고 더 자주 이동할 수 있습니다.,점령하여 보급품이 더 빨리 회복되고 더 자주 이동할 수 있습니다,,beta,follows-ru
common,jp,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,それらを占領すると、補給品の回復が速くなり、より頻繁に移動できるようになります。,占領して物資の回復を早め、より頻繁に出撃できるようにしよう,2026-09-22T09:01,beta,follows-ru
common,tr,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,Erzakların daha hızlı yenilenmesi ve daha sık hareket edebilmek için onları ele geçir.,Erzakın daha hızlı yenilenmesi ve daha sık sefere çıkabilmek için onları ele geçir,2026-09-22T09:01,beta,follows-ru
common,vi,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,Chiếm lấy chúng để nguồn tiếp tế hồi phục nhanh hơn và có thể di chuyển thường xuyên hơn.,Chiếm lấy chúng để quân nhu hồi phục nhanh hơn và có thể hành quân thường xuyên hơn,2026-09-22T09:01,beta,follows-ru
common,nl,territorial_wars_info_lighthouse_desc,territorial_wars_info_lighthouse_desc,Verover ze zodat voorraden sneller herstellen en je vaker kunt uitvaren.,Verover ze zodat voorraden sneller herstellen en je vaker kunt uitvaren,,beta,follows-ru
common,cn,tw_item_name_building_gold_mine,tw_item_name_building_gold_mine,金矿,金币矿,2026-09-19T17:39,beta,review
common,kr,tw_item_name_building_gold_mine,tw_item_name_building_gold_mine,황금 광산,골드 광산,2026-09-19T17:39,beta,review
common,jp,tw_item_name_building_gold_mine,tw_item_name_building_gold_mine,金鉱,ゴールド鉱山,2026-09-19T17:39,beta,review
common,ru,tw_item_name_building_portal,tw_item_name_building_portal,Ворота Столицы,Castle Gate,2026-09-24T07:52,beta,ru-english-in-weblate
common,en,tw_item_name_building_portal,tw_item_name_building_portal,Capital Gate,Castle Gate,2026-09-24T07:52,beta,follows-ru
common,es,tw_item_name_building_portal,tw_item_name_building_portal,Puertas de la capital,Puerta del castillo,2026-09-24T07:52,beta,follows-ru
common,fr,tw_item_name_building_portal,tw_item_name_building_portal,Portes de la Capitale,Porte du château,2026-09-24T07:52,beta,follows-ru
common,pt,tw_item_name_building_portal,tw_item_name_building_portal,Portões da Capital,Portão do Castelo,2026-09-24T07:53,beta,follows-ru
common,pl,tw_item_name_building_portal,tw_item_name_building_portal,Wrota Stolicy,Brama zamkowa,2026-09-24T07:53,beta,follows-ru
common,de,tw_item_name_building_portal,tw_item_name_building_portal,Hauptstadttor,Burgtor,2026-09-24T07:52,beta,follows-ru
common,it,tw_item_name_building_portal,tw_item_name_building_portal,Porta della Capitale,Porta del castello,2026-09-24T07:53,beta,follows-ru
common,th,tw_item_name_building_portal,tw_item_name_building_portal,ประตูเมืองหลวง,ประตูปราสาท,2026-09-24T07:53,beta,follows-ru
common,id,tw_item_name_building_portal,tw_item_name_building_portal,Gerbang Ibu Kota,Gerbang Kastel,2026-09-24T07:53,beta,follows-ru
common,cn,tw_item_name_building_portal,tw_item_name_building_portal,首都之门,城堡大门,2026-09-24T07:52,beta,follows-ru
common,kr,tw_item_name_building_portal,tw_item_name_building_portal,수도의 문,Castle Gate,2026-09-24T07:53,beta,follows-ru
common,jp,tw_item_name_building_portal,tw_item_name_building_portal,首都の門,城門,2026-09-24T07:53,beta,follows-ru
common,tr,tw_item_name_building_portal,tw_item_name_building_portal,Başkent Kapısı,Kale Kapısı,2026-09-24T07:53,beta,follows-ru
common,vi,tw_item_name_building_portal,tw_item_name_building_portal,Cổng Thủ Đô,Cổng Lâu Đài,2026-09-24T07:53,beta,follows-ru
common,nl,tw_item_name_building_portal,tw_item_name_building_portal,Poort van de Hoofdstad,Kasteelpoort,2026-09-24T07:53,beta,follows-ru
common,th,push_text_territorial_wars_unit_arrived,push_text_territorial_wars_unit_arrived,{0} ถึงเป้าหมายแล้ว.,{0} ถึงเป้าหมายแล้ว,,weblate,cleanup
common,jp,push_text_territorial_wars_unit_arrived,push_text_territorial_wars_unit_arrived,,{0}が目的地に到着しました。,2026-09-24T07:53,weblate,filled-in-weblate
common,kr,push_text_territorial_wars_unit_healed,push_text_territorial_wars_unit_healed,,{0}체력을 완전히 회복했습니다.,2026-09-24T07:53,weblate,filled-in-weblate
common,de,push_text_territorial_wars_unit_respawned,push_text_territorial_wars_unit_respawned,"{0} ist wiederbelebt und bereit, wieder Befehle auszuführen.","{0} ist wiederbelebt und wieder bereit, Befehle auszuführen.",2026-09-24T07:52,weblate,newer-in-weblate
common,kr,push_text_territorial_wars_unit_respawned,push_text_territorial_wars_unit_respawned,,{0}가 부활하여 다시 명령을 수행할 준비가 되었습니다.,2026-09-24T07:53,weblate,filled-in-weblate
common,ru,territorial_wars_lobby_briefing_player_info_placeholder_text,territorial_wars_lobby_briefing_player_info_placeholder_text,Поиск...,Поиск…,,weblate,ru-ellipsis
common,cn,ability_description_shotgun_accuracy_mod,ability_description_shotgun_accuracy_mod,提高射击精度 {0}。,提升射击精度 {0},2026-09-24T07:33,weblate,newer-in-weblate
common,kr,ability_description_shotgun_accuracy_mod,ability_description_shotgun_accuracy_mod,사격 정확도를 {0}만큼 높입니다.,사격 정확도를 {0}만큼 증가시킵니다,2026-09-24T07:33,weblate,newer-in-weblate
common,jp,ability_description_shotgun_accuracy_mod,ability_description_shotgun_accuracy_mod,射撃精度が {0} 上がります。,射撃精度が{0}上昇,2026-09-24T07:33,weblate,newer-in-weblate
common,tr,ability_description_shotgun_accuracy_mod,ability_description_shotgun_accuracy_mod,Atış isabetini {0} artırır.,Atış isabetini {0} artırır,,weblate,cleanup
common,cn,ability_description_captain_fire_bomb_throw,ability_description_captain_fire_bomb_throw,向敌人投掷火焰桶。命中时造成 {0} 点火焰伤害，范围 {1} 节，点燃甲板并施加恐惧 {2} 秒。,向敌人投掷火焰桶。命中时在{1}节的范围内造成{0}点火焰伤害，点燃甲板并施加{2}秒的恐惧。,2026-09-24T07:33,weblate,newer-in-weblate
common,kr,ability_description_captain_fire_bomb_throw,ability_description_captain_fire_bomb_throw,"적에게 화염 통을 던집니다. 명중 시 {1} 노트 반경에 {0} 화염 피해를 입히고, 갑판을 불태우며 {2}초 동안 공포를 유발합니다.","적에게 불통을 던집니다. 명중 시 {0}의 화염 피해를 {1}노트 반경에 주고, 갑판에 불을 붙이며 {2}에게 공포를 줍니다.",2026-09-24T07:33,weblate,newer-in-weblate
common,en,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Choose the Rifleman</size>

It's best to hide Riflemen
behind stronger Fighters</b>","<b>Choose the Rifleman</b>

It's best to hide Riflemen behind stronger Fighters",2026-09-22T09:01,beta,review
common,es,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Elige al Tirador</b></size>

Es mejor esconder a los Tiradores
detrás de Combatientes más fuertes</b>","<b>Elige al Tirador</b>

Es mejor esconder a los Tiradores detrás de Combatientes más fuertes",2026-09-22T09:01,beta,review
common,fr,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Choisis un Tireur</b></size>

Il vaut mieux cacher les Tireurs
derrière des Combattants plus forts</b>","<b>Choisis un Tireur</b>

Il vaut mieux cacher les Tireurs derrière des Combattants plus forts",2026-09-22T09:01,beta,review
common,pt,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Escolha o Atirador</b></size>

É melhor esconder os Atiradores
atrás de Combatentes mais fortes</b>","<b>Escolha o Atirador</b>

É melhor esconder os Atiradores atrás de Combatentes mais fortes",2026-09-22T09:01,beta,review
common,pl,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Wybierz Strzelca</b></size>

Strzelców lepiej ukrywać
za silniejszymi Bojownikami</b>","<b>Wybierz Strzelca</b>

Strzelców lepiej ukrywać za silniejszymi Bojownikami",2026-09-22T09:01,beta,review
common,de,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Wähle den Schützen</b></size>

Schützen versteckst du am besten
hinter stärkeren Kämpfern</b>","<b>Wähle den Schützen</b>

Schützen versteckst du am besten hinter stärkeren Kämpfern",2026-09-22T09:01,beta,review
common,it,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Scegli il Tiratore</b></size>

È meglio nascondere i Tiratori
dietro a Combattenti più forti</b>","<b>Scegli il Tiratore</b>

È meglio nascondere i Tiratori dietro a Combattenti più forti",2026-09-22T09:01,beta,review
common,th,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>เลือกพลยิง</b></size>

ควรซ่อนพลยิงไว้
หลังนักรบที่แข็งแกร่งกว่า</b>","<b>เลือกพลปืน</b>

ควรซ่อนพลปืนไว้ด้านหลังนักสู้ที่แข็งแกร่งกว่า",2026-09-22T09:01,beta,review
common,id,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Pilih Penembak</b></size>

Sebaiknya sembunyikan Penembak
di balik Petarung yang lebih kuat</b>","<b>Pilih Penembak</b>

Sebaiknya sembunyikan Penembak di balik Petarung yang lebih kuat",2026-09-22T09:01,beta,review
common,cn,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>选择射手</b></size>

最好将射手藏在
更强大的战士身后</b>","<b>选择步枪手</b>

最好把步枪手藏在更强的战士后面",2026-09-22T09:01,beta,review
common,kr,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>저격수를 선택하세요</b></size>

저격수는 더 강한
전사들 뒤에 숨기는 것이 좋습니다</b>","<b>저격수를 선택하세요</b>

저격수는 더 강한 전투원 뒤에 숨기는 것이 좋습니다",2026-09-22T09:01,beta,review
common,jp,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>射手を選べ</b></size>

射手はより強力な
戦士の後ろに隠れるのがベスト</b>","<b>射手を選択</b>

射手はより強力な戦士の後ろに隠すのがおすすめ",2026-09-22T09:01,beta,review
common,tr,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Nişancıyı Seç</b></size>

Nişancıları daha güçlü
Savaşçıların arkasına saklamak daha iyidir</b>","<b>Nişancıyı Seç</b>

Nişancıları daha güçlü Savaşçıların arkasına saklamak daha iyidir",2026-09-22T09:01,beta,review
common,vi,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Chọn Xạ thủ</b></size>

Tốt nhất nên giấu Xạ thủ
sau các Chiến binh mạnh hơn</b>","<b>Chọn Xạ thủ</b>

Tốt nhất nên giấu Xạ thủ sau các Chiến binh mạnh hơn",2026-09-22T09:01,beta,review
common,nl,tutorial_hint_rifleman_card_select2,tutorial_hint_rifleman_card_select2,"<size=14><b>Kies de Schutter</b></size>

Je kunt Schutters het beste
achter sterkere Vechters verbergen</b>","<b>Kies de Schutter</b>

Je kunt Schutters het beste achter sterkere Vechters verbergen",2026-09-22T09:01,beta,review
rename,ru,dialogue_text_intro_start_0,dialog_text_intro_start_0,"О, это была великолепная битва! Мы нагнали Золотых Гарпий, и уже предвкушали легкую наживу...","О, это была великолепная битва! Мы нагнали Золотых Гарпий, и уже предвкушали легкую наживу…",,weblate,ru-ellipsis
rename,en,dialogue_text_intro_start_0,dialog_text_intro_start_0,"Oh, it was a glorious battle! We caught up with the Golden Harpies, and were already anticipating an easy loot...","Oh, it was a glorious battle! We caught up with the Golden Harpies, and were already anticipating an easy loot…",,weblate,cleanup
rename,es,dialogue_text_intro_start_0,dialog_text_intro_start_0,"¡Oh, fue una batalla gloriosa! Alcanzamos a las Arpías Doradas y ya anticipábamos un botín fácil...","¡Oh, fue una batalla gloriosa! Alcanzamos a las Arpías Doradas y ya anticipábamos un botín fácil…",,weblate,cleanup
rename,fr,dialogue_text_intro_start_0,dialog_text_intro_start_0,"Oh, c'était une bataille glorieuse ! Nous avons rattrapé les Harpies Dorées, et nous nous attendions déjà à un butin facile...","Oh, c'était une bataille glorieuse ! Nous avons rattrapé les Harpies Dorées, et nous nous attendions déjà à un butin facile…",,weblate,cleanup
rename,pt,dialogue_text_intro_start_0,dialog_text_intro_start_0,"Oh, foi uma batalha gloriosa! Alcançamos as Harpias Douradas e já estávamos antecipando um saque fácil...","Oh, foi uma batalha gloriosa! Alcançamos as Harpias Douradas e já estávamos antecipando um saque fácil…",,weblate,cleanup
rename,pl,dialogue_text_intro_start_0,dialog_text_intro_start_0,"Och, to była wspaniała bitwa! Dogoniliśmy Złote Harpie i już spodziewaliśmy się łatwego łupu...","Och, to była wspaniała bitwa! Dogoniliśmy Złote Harpie i już spodziewaliśmy się łatwego łupu…",,weblate,cleanup
rename,de,dialogue_text_intro_start_0,dialog_text_intro_start_0,"Oh, es war eine glorreiche Schlacht! Wir holten die Goldenen Harpyien ein und freuten uns schon auf eine leichte Beute...","Oh, es war eine glorreiche Schlacht! Wir holten die Goldenen Harpyien ein und freuten uns schon auf eine leichte Beute…",,weblate,cleanup
rename,it,dialogue_text_intro_start_0,dialog_text_intro_start_0,"Oh, è stata una battaglia gloriosa! Abbiamo raggiunto le Arpie Dorate e stavamo già anticipando un facile bottino...","Oh, è stata una battaglia gloriosa! Abbiamo raggiunto le Arpie Dorate e stavamo già anticipando un facile bottino…",,weblate,cleanup
