pos	context	speaker	ru	en	fr	ru_checks	en_checks	fr_checks	en_lost_final_punct	fr_lost_final_punct	en_hidden_checks	fr_hidden_checks	duplicate_divergence
40	hub1_ramen_1_6	Ray	Попробуй скорее. Тебе понравится. \n\n	Try it quickly. You'll like it. \n\n	Goûte vite. Tu vas aimer. \n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
41	hub1_ramen_1_7	Leon	ЕБАТЬ. КАК. ВКУСНО.\n	FUCK. THAT'S. GOOD.\n	PUTAIN. QUE. C'EST. BON.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
42	hub1_ramen_1_9	Motoki	Я всегда говорю. Ешь рамен - БУДЕШЬ КАК КАМЕНЬ!	I always say. Eat ramen, and you'll BE HARD AS A ROCK!	Je dis toujours. Mange du ramen — TU SERAS SOLIDE COMME UN ROC !								
43	hub1_ramen_1_10	Saki	ЗАТКНИСЬ, СТАРЫЙ! Не приставай к ним! 	SHUT UP, OLD MAN! Leave 'em alone! 	TAIS-TOI, VIEUX ! Ne les embête pas 					yes		end_exclamation	
44	hub1_ramen_1_11	Motoki	Да я ничего не делал! 	But I ain't doin' nothin'! 	Mais je n'ai rien fait 					yes		end_exclamation	
45	hub1_ramen_1_12	Saki	Вот и не делай! 	Then don't! 	Alors ne fais rien 					yes		end_exclamation	
46	hub1_ramen_1_13	Ray	Нам нужно где-то остановиться. 	We need somewhere to stay. 	Nous devons nous arrêter quelque part 					yes		end_stop	
47	hub1_ramen_1_14	Leon	Мне все равно! 	I don't give a shit! 	Je m'en fous 					yes		end_exclamation	
48	hub1_ramen_1_15	Leon	Я хочу только узнать, кому продали мою сестру!	All I wanna know is who my sister was sold to!	Je veux juste savoir à qui ma sœur a été vendue !								
49	hub1_ramen_1_16	Ray	И как ты это сделаешь?	And how will you do that?	Et comment vas-tu faire ça ?								
50	hub1_ramen_1_17	Leon	Без понятия.	No fuckin' idea.	Aucune idée.								
51	hub1_ramen_1_18	Ray	Нам нужна комната на несколько дней. 	We need a room for a few days. 	Il nous faut une chambre pour quelques jours 					yes		end_stop	
52	hub1_ramen_1_19	Motoki	Отлично! А мне нужны постояльцы! \n	Great! And I need lodgers! \n	Parfait ! Et moi, j’ai besoin de clients ! \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
53	hub1_ramen_1_20	Leon	Ты подслушивал?	Were you eavesdropping?	Tu écoutais aux portes ?								
54	hub1_ramen_1_21	Motoki	Так я всегда подслушиваю.\n	I always eavesdrop.\n	J’écoute toujours aux portes.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
55	hub1_ramen_1_22	Motoki	Вы можете спать в подсобке за раменной. 	You can sleep in the back room behind the ramen shop. 	Vous pouvez dormir dans l’arrière-boutique, derrière le ramen-ya 					yes		end_stop	
56	hub1_ramen_1_23	Motoki	Только учтите! Все шиитаке посчитаны. \n	Just so you know! All shiitake are accounted for. \n	Mais attention ! Tous les shiitake sont comptés. \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
57	hub1_ramen_1_24	Leon	…что за нахрен шиитаке…\n	...what the fuck are shiitake...\n	…c’est quoi, ces putains de shiitake…\n						end_ellipsis,end_stop		
58	hub1_ramen_1_25	Ray	Мы бы с радостью у вас остановились. 	We'd gladly stay with you. 	Nous serions ravis de rester chez vous 					yes		end_stop	
59	hub1_ramen_1_26	Ray	Но у нас совсем немного денег.	But we don't have much money.	Mais nous avons très peu d’argent.								
60	hub1_ramen_1_27	Motoki	А мне и не нужны деньги.	I don't need money.	Je n’ai pas besoin d’argent.								
61	hub1_ramen_1_28	Motoki	 Я на вас новые рецепты раменов опробую! По рукам?.	 I'll try out new ramen recipes on ya! Deal?	 Je vais tester de nouvelles recettes de ramen sur vous ! Marché conclu ?.		end_question,end_stop						
62	hub1_ramen_1_29	Leon	По рукам! \n	Deal! \n	Marché conclu ! \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
63	hub1_ramen_1_30	Ray	А нам бы еще какого-нибудь проводника для города... \n	We could use a guide for the city... \n	Il nous faudrait aussi un guide pour la ville… \n	ellipsis							
64	hub1_ramen_1_31	Ray	Мы тут совсем не ориентируемся…	We're completely lost here…	Nous ne nous y retrouvons pas du tout…								
65	hub1_ramen_1_32	Motoki	Никто из наших отсюда носа не высунет в Столицу… 	None of our folk'll stick their nose out into the capital... 	Aucun des nôtres ne mettra le nez dehors dans la Capitale… 						end_ellipsis,end_stop		
66	hub1_ramen_1_33	Motoki	Хотя, загляните в чайный домик. 	Though, check out the tea house. 	Cependant, passez au salon de thé. 								
67	hub1_ramen_1_34	Motoki	 Девочки госпожи Яэко частенько в городе бывают. \n	 Lady Yaeko's girls are often in the city. \n	 Les filles de Madame Yaeko sont souvent en ville. \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
68	hub1_ramen_1_35	Leon	Как их найти?	How do we find 'em?	Comment les trouver ?								
69	hub1_ramen_1_36	Motoki	Вот тут у нас главное место Рыбного тупика - моя раменная! 	Right here's the main spot in Fish Alley - my ramen shop! 	Ici, c'est le cœur du Cul-de-sac des Poissons, mon Ramen-ya ! 								
70	hub1_ramen_1_37	Motoki	Но это вы и так знаете. 	But you already know that. 	Mais ça, vous le savez déjà. 								
71	hub1_ramen_1_38	Motoki	Пойдете вот сюда - окажетесь на пристани.	Go this way and you'll end up at the pier.	Si vous allez par là, vous arriverez au quai.								
72	hub1_ramen_1_39	Motoki	Вот на этот корабль лучше не соваться. 	Better not mess with that ship. 	Mieux vaut ne pas s’aventurer sur ce bateau 					yes		end_stop	
73	hub1_ramen_1_40	Motoki	Если конечно не хотите встретиться с морскими волками. 	Unless you wanna meet some sea dogs, that is. 	À moins que vous ne vouliez rencontrer les loups de mer 					yes		end_stop	
74	hub1_ramen_1_41	Motoki	Свернете сюда и окажетесь в банях, шикарное место для отдыха.	Turn here and you'll be at the bathhouse, a great place to relax.	Tournez ici et vous serez aux bains, un endroit magnifique pour se détendre.								
75	hub1_ramen_1_42	Motoki	Тут будет лавка травника, 	There'll be a herbalist's shop here, 	Ici, il y aura la boutique de l’herboriste, 								
76	hub1_ramen_1_43	Motoki	а тут барахолка. 	and a junk shop here. 	et là, le marché aux puces 					yes		end_stop	
77	hub1_ramen_1_44	Motoki	А прямо над нами находится чайный домик. 	And right above us is the tea house. 	Et juste au-dessus de nous se trouve la maison de thé 					yes		end_stop	
78	hub1_ramen_1_45	Motoki	Если запутаетесь, изучите нашу карту. 	If you get lost, check our map. 	Si vous êtes perdu, consultez notre carte 					yes		end_stop	
79	hub1_ramen_1_46	Leon	Ясно, погнали. 	Got it, let's go. 	Clair, allons-y 					yes		end_stop	
80	hub1_fisherman_quest_1_1	Motoki	Вот что  еще вспомнил…	Oh, I just remembered something else…	Ah, et j’ai aussi pensé à…								
81	hub1_fisherman_quest_1_2	Motoki	Может сделаете для меня кое-чего, молодежь?	Maybe you young'uns can do somethin' for me?	Vous ne pourriez pas me rendre un service, les jeunes ?								
82	hub1_fisherman_quest_1_3	Motoki	А то мне самому лень.	I'm too lazy to do it myself.	J'ai la flemme de le faire moi-même.								
83	hub1_fisherman_quest_1_4	Motoki	Вам по пути!	It's on your way!	C'est sur votre chemin !								
84	hub1_fisherman_quest_1_5	Leon	Ладно, что нужно?\n	Alright, what do you need?\n	Bon, qu'est-ce qu'il faut ?\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
85	hub1_fisherman_quest_1_6	Motoki	Заберите у рыбака на пристани нефритового угря...	Get a jade eel from the fisherman at the pier...	Allez chercher une anguille de jade auprès du pêcheur sur le quai...	ellipsis							
86	hub1_fisherman_quest_1_7	Motoki	Приготовлю божественный рамен!\n	I'll make divine ramen!\n	Je préparerai un ramen divin !\n								
87	hub1_fisherman_quest_1_8	Leon	Всего-то? Да без проблем.  \n	That's all? No problem.  \n	C'est tout ? Pas de problème.  \n								
88	hub1_fisherman_quest_1_9	Leon	Сейчас вообще не до того, извини. 	Got no time for that right now, sorry 	Je n'ai pas le temps pour ça, désolé 				yes	yes	end_stop	end_stop	
89	hub1_fisherman_quest_1_10	Motoki	Эх, ладно. Выгуляю свои старые кости. 	Ugh, fine. I'll walk my old bones myself 	Pff, d'accord. Je vais dégourdir mes vieilles jambes 				yes	yes	end_stop	end_stop	
90	hub1_teahouse_1_1	Yaeko	 Ну и кто это у нас?	 Well, who do we have here?	 Mais qui avons-nous là ?								
91	hub1_teahouse_1_2	Tsuru	О-о-о… какой милый лисёнок.	Ooooh… what a cute little fox.	Oh-oh-oh… quel mignon petit renard.								
92	hub1_teahouse_1_3	Momo	 И симпатичный наг…	 And a handsome Naga…	 Et un Naga plutôt charmant…								
93	hub1_teahouse_1_4	Leon	 Даже не начинайте.	 Don't even start.	 Ne commencez même pas.								
94	hub1_teahouse_1_5	Tsuru	 А зачем тогда пришли? 	 Then why'd ya come here? 	 Alors pourquoi êtes-vous venu ? 								
95	hub1_teahouse_1_6	Tsuru	Чайный домик — не приют для бездомных.\n	A tea house ain't no shelter for the homeless.\n	La Maison de Thé n’est pas un refuge pour les sans-abri.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
96	hub1_teahouse_1_7	Leon	 Мне нужен сопровождающий в город.	 I need an escort into the city.	 J’ai besoin d’un guide pour la ville.								
97	hub1_teahouse_1_8	Momo	 ТЕБЕ?!	 YOU?!	 TOI ?!								
98	hub1_teahouse_1_9	Tsuru	Сопровождающий для дзинко?!\n	An escort for a Jinko?!\n	Un guide pour un Jinko ?!\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
99	hub1_teahouse_1_10	Yaeko	Мальчик, половина Империи захочет сдать за награду раньше...	Boy, half the Empire'll wanna turn you in for a reward before…	Mon garçon, la moitié de l’Empire voudra te livrer pour la récompense avant…	ellipsis							
100	hub1_teahouse_1_11	Yaeko	Чем ты дойдёшь до соседней улицы.\n	You even make it to the next street.\n	Que tu n’atteignes la rue d’à côté.\n								
101	hub1_teahouse_1_12	Leon	Да понял я уже, хватит ржать.	Yeah, I get it, stop laughin'.	J'ai compris, arrête de te marrer.								
102	hub1_teahouse_1_13	Tsuru	А куда тебе вообще надо?	Where do you even need to go?	Mais où tu dois aller, au juste ?								
103	hub1_teahouse_1_14	Ray	Вообще… нам нужна информация о дзинко. Документы, отчеты…	Well… we need information about Jinko. Documents, reports…	En fait… nous cherchons des informations sur les Jinko. Des documents, des rapports…								
104	hub1_teahouse_1_15	Ray	Может подскажите, где ее можно найти?\n	Perhaps you could tell us where to find it?\n	Pourriez-vous nous dire où les trouver ?\n								
105	hub1_teahouse_1_16	Yaeko	Вам нужно в Архивы. 	You need to go to the Archives. 	Vous devez aller aux Archives. 								
106	hub1_teahouse_1_17	Yaeko	Там хранятся все старые документы Империи.\n	All the Empire's old documents are stored there.\n	Tous les anciens documents de l'Empire y sont conservés.\n								
107	hub1_teahouse_1_18	Leon	И как туда попасть?	And how do we get there?	Et comment on y va ?								
108	hub1_teahouse_1_19	Yaeko	Какое совпадение. 	What a coincidence. 	Quelle coïncidence. 								
109	hub1_teahouse_1_20	Yaeko	У меня предложение, которое будет выгодно нам обоим, молодой человек.\n	I have a proposition that will benefit us both, young man.\n	J'ai une proposition qui nous sera profitable à tous les deux, jeune homme.\n								
110	hub1_teahouse_1_21	Yaeko	Доставь это послание нашему человеку в Нижнем Городе...	Deliver this message to our contact in the Lower City…	Remets ce message à notre contact dans la Ville Basse…	ellipsis							
111	hub1_teahouse_1_22	Yaeko	И он даст тебе ключ от туннелей под городом. 	And he'll give you the key to the tunnels under the city. 	Et il te donnera la clé des tunnels sous la ville. 								
112	hub1_teahouse_1_23	Yaeko	Там можно попасть в Архив.	You can get to the Archives there.	Tu pourras y accéder aux Archives.								en,fr
113	hub1_teahouse_1_24	Yaeko	Сделка?	Deal?	Marché conclu ?								
114	hub1_teahouse_1_25	Leon	Уговор.	Deal.	Marché conclu.								fr
115	hub1_teahouse_1_26	Ray	 Леон, ты с ума сошел? Как ты проберешься через Нижний город?\n	 Leon, have you lost your mind? How will you get through the Lower City?\n	 Leon, tu es fou ? Comment vas-tu traverser la Ville Basse ?\n								
116	hub1_teahouse_1_27	Leon	 По крышам.	 Over the rooftops.	 Par les toits.								
117	hub1_teahouse_1_28	Tsuru	Ой, какой самоуверенный.	Oh, so confident.	Oh, comme il est sûr de lui.								
118	hub1_teahouse_1_29	Momo	 Мне нравится.	 I like it.	 J'aime bien.								
119	hub1_teahouse_1_30	Yaeko	 Мне тоже. 	 Me too. 	 Moi aussi 					yes		end_stop	
120	hub1_teahouse_1_31	Yaeko	Я думаю у барахольщика Хадзуо ты найдешь что-нибудь...	I think you'll find something at Hazuo's Thousand Trinkets Shop...	Je pense que tu trouveras quelque chose chez le brocanteur Hazuo...	ellipsis							
121	hub1_teahouse_1_32	Yaeko	Что поможет тебе в этом пути.	That which will aid you on this path.	Ce qui t'aidera sur ce chemin.								
122	hub1_teahouse_1_33	Leon	Что именно?	What exactly?	Quoi donc ?								fr
123	hub1_teahouse_1_34	Yaeko	Он же барахольщик. Какое-нибудь барахло.\n	He's a junk dealer. Some junk or other.\n	C'est un brocanteur. N'importe quelle babiole.\n								en
124	hub1_teahouse_1_35	Leon	Ладно, я загляну к нему.	Alright, I'll check him out.	D'accord, j'irai le voir.								fr
125	hub1_scrappy_1_1	Hazuo	А, мои племяннички вернулись! 	Ah, my nephews are back! 	Ah, mes neveux sont de retour 					yes		end_exclamation	fr
126	hub1_scrappy_1_2	Hazuo	В поисках знаний, или вас привела нужда?\n	Seekin' knowledge, or has necessity brought ya?\n	En quête de savoir, ou la nécessité vous a-t-elle amenés ici ?\n								en,fr
127	hub1_scrappy_1_3	Ray	 Нужно что-то, чтобы по крышам пройти.\n	 We need somethin' to get across the rooftops.\n	 Il nous faut quelque chose pour passer par les toits.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
128	hub1_scrappy_1_4	Hazuo	 По крышам, говорите…	 Across the rooftops, you say…	 Par les toits, dites-vous…								en
129	hub1_scrappy_1_5	Hazuo	Ах! Это напоминает мне о мостах из бамбука времён императора Акито! 	Ah! That reminds me of the bamboo bridges from Emperor Akito's time! 	Ah ! Cela me rappelle les ponts de bambou du temps de l'empereur Akito 					yes		end_exclamation	fr
130	hub1_scrappy_1_6	Hazuo	Знаете ли вы, что его войска….	Do you know that his troops….	Savez-vous que ses troupes…			end_ellipsis,end_stop					
131	hub1_scrappy_1_7	Leon	Ты уверен, что у тебя в лавке вообще есть хоть что-то полезное?\n	You sure you got anything useful in your shop?\n	Es-tu sûr que ta boutique a quoi que ce soit d'utile ?\n								fr
132	hub1_scrappy_1_8	Hazuo	Вот, к примеру, веер придворной дамы.	Here, for example, is a court lady's fan.	Tiens, par exemple, l'éventail d'une dame de cour.								en,fr
133	hub1_scrappy_1_9	Hazuo	Когда она убегала к любовнику, этот звук маскировал её шаги…\n	When she ran off to her lover, the sound of it masked her footsteps...\n	Quand elle s'enfuyait avec son amant, ce son masquait ses pas…\n	multiple_failures	end_newline,newline-count	end_newline,newline-count			end_ellipsis,end_stop		en,fr
134	hub1_scrappy_1_10	Leon	Может, у тебя есть ещё бамбуковая зубочистка? 	Maybe you got a bamboo toothpick too? 	Tu aurais aussi un cure-dent en bambou ? 								
135	hub1_scrappy_1_11	Leon	Тоже пригодится, ага.	That'd come in handy, yeah.	Ça me serait utile aussi, ouais.								
136	hub1_scrappy_1_12	Ray	 Хадзуо, может быть, что-то попрактичнее?\n	 Hazuo, maybe somethin' more practical?\n	 Hazuo, peut-être quelque chose de plus pratique ?\n								
137	hub1_scrappy_1_13	Hazuo	 А это — маска актёра. 	 And this is an actor's mask. 	 Et ça, c'est le masque d'un acteur. 								fr
138	hub1_scrappy_1_14	Hazuo	 Один вор использовал её, чтобы стоять неподвижно на площади и притворяться статуей…\n	 A thief once used it to stand still in the square and pretend to be a statue...\n	 Un voleur l'utilisait pour rester immobile sur la place et faire semblant d'être une statue…\n						end_ellipsis,end_stop		en,fr
139	hub1_scrappy_1_15	Leon	ВСЁ, ХВАТИТ! Мне не нужна коллекция пиздежа!\n	THAT'S ENOUGH! I don't need a collection of bullshit!\n	ÇA SUFFIT, BORDEL ! Je n'ai pas besoin d'une collection de conneries !\n								en,fr
140	hub1_scrappy_1_16	Hazuo	О! Инструмент кровельщиков. 	Oh! A roofer's tool. 	Oh ! Un outil de couvreur. 								
141	hub1_scrappy_1_17	Hazuo	С его помощью поднимали черепицу! Для тебя то, что нужно.\n	It was used to lift roof tiles! Just what you need.\n	On s’en servait pour soulever les tuiles ! C’est exactement ce qu’il te faut.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
142	hub1_scrappy_1_18	Leon	Наконец-то. Хоть раз твой мусор оказался в тему.\n	Finally. For once your junk came in handy.\n	Enfin. Pour une fois que tes conneries sont utiles.\n								en,fr
143	hub1_scrappy_1_19	Ray	 Спасибо, Хадзуо.\n	 Thank you, Hazuo.\n	 Merci, Hazuo.\n								
144	hub1_scrappy_1_20	Hazuo	 История всегда знает, когда подоспеть.	 History always knows when to arrive.	 L’Histoire sait toujours quand intervenir.								fr
145	hub1_fisherman_quest_2_1	Ray	Малыш, а ты не видел тут рыбака?\n\n	Kid, have you seen a fisherman around here?\n\n	Petit, tu n’aurais pas vu un pêcheur par ici ?\n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
146	hub1_fisherman_quest_2_2	Boy Haru	Не мешайте мне, я занят. 	Don't bother me, I'm busy. 	Ne me dérangez pas, je suis occupé 					yes		end_stop	
147	hub1_fisherman_quest_2_3	Boy Haru	Пока не сделаю, меня не трогайте.	Don't touch me until I'm done.	Tant que je n’ai pas fini, ne me touchez pas.								
148	hub1_fisherman_quest_2_4	Leon	И че ты делаешь?	And what're you doin'?	Et tu fais quoi, là ?								
149	hub1_fisherman_quest_2_5	Boy Haru	Хочу чтобы моя лягушка допрыгала до корабля.	I want my frog to hop all the way to the ship.	Je veux que ma grenouille saute jusqu’au bateau.								
150	hub1_fisherman_quest_2_6	Leon	Дай сюда! \n	Gimme that! \n	Donne-moi ça ! \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
151	hub1_fisherman_quest_2_7	Pirate	Я ЩАС КОМУ ТО УШИ ПООТРЫВАЮ! 	I'M GONNA RIP SOMEONE'S EARS OFF! 	JE VAIS ARRACHER LES OREILLES À QUELQU'UN, LÀ 					yes		end_exclamation	
152	hub1_fisherman_quest_2_8	Leon	Твоя лягушка в трюме. Ну че, где рыбак?\n	Your frog's in the hold. So, where's the fisherman?\n	Ta grenouille est dans la cale. Alors, il est où, le pêcheur ?\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
153	hub1_fisherman_quest_2_9	Boy Haru	Вау! Какой ты сильный! \n	Wow! You're so strong! \n	Waouh ! Tu es si fort ! \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
154	hub1_fisherman_quest_2_10	Boy Haru	Да, дядя Унаги как всегда пьет, наверное. В банях.\n	Yeah, Uncle Unagi's probably drinkin' as usual. At the bathhouse.\n	Oui, oncle Unagi boit comme d'habitude, sûrement. Aux Bains.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
155	hub1_fisherman_quest_2_11	Leon	Меня это начинает раздражать. \n	This is startin' to piss me off. \n	Ça commence à m'énerver. \n								
156	hub1_fisherman_quest_2_12	Leon	Это разве не легкое задание?	Ain't this s'posed to be an easy job?	Ce n'est pas une tâche facile, ça ?								
157	hub1_fisherman_quest_2_13	Ray	Спасибо, мальчик! Ты нам очень помог! 	Thank you, boy! You've helped us greatly! 	Merci, petit ! Tu nous as beaucoup aidés 					yes		end_exclamation	
158	hub1_fisherman_quest_2_14	Leon	Идем в баню. 	Let's go to the bathhouse. 	Allons aux Bains 					yes		end_stop	
159	hub1_guard_1_1	Ray	Смотри! \n\n	Look! \n\n	Regarde ! \n\n								
160	hub1_guard_1_2	Ray	За твою голову назначили награду! 	There's a bounty on your head! 	Une récompense a été mise sur ta tête 					yes		end_exclamation	
161	hub1_guard_1_3	Ray	10 тысяч мон!	10,000 mon!	10 000 mons !	multiple_failures	game-number	game-number					
162	hub1_guard_1_4	guard	Научись считать - ваще та 100 тысяч мон! 	Learn to count, ya dumbass—it's 100,000 mon 	Apprends à compter, c'est 100 000 mons 	multiple_failures	game-number	game-number	yes	yes	end_exclamation	end_exclamation	
163	hub1_guard_1_5	Leon	Я только приехал, а уже надо ломать морды.\n	I just got here, and I already gotta bust some heads.\n	Je viens d'arriver et je dois déjà casser des gueules.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
164	hub1_guard_1_6	guard	Не-не-не, мне столько не платят, шобы я даже смотрел в твою сторону.\n	Nah, nah, nah, they don't pay me enough to even look your way.\n	Non, non, non, je ne suis pas payé assez pour même te regarder.\n	multiple_failures	duplicate,end_newline,newline-count	duplicate,end_newline,newline-count					
165	hub1_guard_1_7	guard	Вы в баню шли? Вот и идите. Иннара в помощь. \n\n	You were goin' to the bathhouse? Then go. Inara be with ya. \n\n	Vous alliez aux bains ? Alors allez-y. Inara vous aide. \n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
166	hub1_fisherman_quest_3_1	Ichiro	О, новые клиенты? Заходите, располагайтесь. \n	Oh, new customers? Come on in, make yourselves at home. \n	Oh, de nouveaux clients ? Entrez, installez-vous. \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
